Cities,Year,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Hemphill,2017,"1,224",2,0,0,0,2,10,2,8,0,0
Henderson,2017,"13,366",94,0,6,6,82,489,52,421,16,2
Hereford,2017,"14,832",58,0,3,5,50,356,69,263,24,4
Hewitt,2017,"14,443",18,0,4,4,10,172,32,132,8,1
Hickory Creek,2017,"4,413",6,0,2,1,3,78,6,66,6,2
Hidalgo,2017,"14,048",39,0,5,3,31,216,21,185,10,0
Highland Park,2017,"9,248",4,0,0,1,3,196,28,163,5,0
Highland Village,2017,"16,884",11,0,0,0,11,167,11,151,5,0
Hill Country Village,2017,"1,098",0,0,0,0,0,45,9,34,2,0
Hillsboro,2017,"8,348",23,1,3,4,15,365,34,307,24,2
Hitchcock,2017,"7,949",14,0,2,0,12,188,39,128,21,0
Hollywood Park3,2017,"3,371",1,0,0,1,0,83,16,61,6,0
Hondo,2017,"9,353",40,0,5,1,34,306,52,238,16,0
Hooks,2017,"2,734",4,0,1,0,3,40,11,27,2,1
Horizon City,2017,"19,695",16,0,0,3,13,118,17,94,7,1
Horseshoe Bay,2017,"3,732",14,0,1,0,13,48,8,38,2,0
Houston,2017,"2,338,235","25,609",269,"1,366","9,773","14,201","96,532","17,108","67,828","11,596",665
Hughes Springs,2017,"1,777",6,0,0,0,6,7,2,5,0,1
Humble,2017,"15,631",147,1,36,61,49,"1,521",136,"1,209",176,0
Huntington,2017,"2,105",6,0,3,0,3,51,21,27,3,0
Huntsville,2017,"41,634",160,1,23,24,112,675,102,485,88,2
Hurst,2017,"39,459",87,0,28,41,18,"1,543",148,"1,327",68,4
Hutchins,2017,"5,693",16,0,0,8,8,220,67,153,0,0
Hutto,2017,"25,283",22,0,6,4,12,138,16,118,4,0
Idalou,2017,"2,348",3,0,1,0,2,11,2,8,1,0
Indian Lake3,2017,657,0,0,0,0,0,5,2,3,0,0
Ingleside,2017,"10,698",21,1,6,4,10,206,54,135,17,0
Ingram,2017,"1,843",2,0,0,0,2,18,6,9,3,1
Iowa Park,2017,"6,361",7,0,3,0,4,49,8,34,7,0
Irving,2017,"242,062",549,8,54,228,259,"6,147",969,"4,467",711,23
Itasca,2017,"1,650",2,0,0,0,2,30,7,22,1,0
Jacinto City,2017,"10,718",18,0,0,11,7,254,30,189,35,0
Jacksboro,2017,"4,323",9,0,3,0,6,65,9,52,4,3
Jacksonville3,2017,"14,955",107,1,8,9,89,386,100,270,16,0
Jamaica Beach,2017,"1,078",1,0,1,0,0,19,7,11,1,0
Jarrell,2017,"1,416",3,0,0,0,3,23,10,12,1,0
Jasper,2017,"7,663",37,0,0,5,32,349,93,242,14,2
Jersey Village,2017,"7,938",14,0,1,6,7,176,41,103,32,0
Jones Creek,2017,"2,070",1,0,0,0,1,14,4,9,1,0
Jonestown,2017,"2,065",5,0,1,2,2,38,13,19,6,0
Josephine,2017,"1,328",1,0,0,0,1,5,3,2,0,1
Joshua,2017,"6,983",12,0,3,1,8,105,31,67,7,0
Jourdanton,2017,"4,404",3,0,0,1,2,3,0,3,0,0
Junction,2017,"2,445",2,0,0,0,2,14,6,7,1,0
Karnes City,2017,"3,400",15,0,5,0,10,61,18,40,3,0
Katy,2017,"17,669",57,0,13,15,29,668,60,572,36,0
"Kaufman2, 3",2017,"7,276",28,0,5,4,19,,,135,17,0
Keene,2017,"6,334",31,0,3,1,27,66,18,44,4,0
Keller,2017,"47,892",25,0,7,7,11,300,56,233,11,1
Kemah,2017,"2,037",7,0,0,6,1,157,8,143,6,0
Kenedy,2017,"3,401",11,0,0,1,10,141,28,108,5,1
Kennedale,2017,"8,032",21,0,6,8,7,139,27,102,10,0
Kermit,2017,"6,459",0,0,0,0,0,14,6,8,0,0
Kerrville,2017,"23,610",53,0,4,6,43,561,49,489,23,3
Kilgore,2017,"15,074",53,2,10,0,41,422,80,313,29,3
Killeen,2017,"145,912","1,118",18,151,313,636,"4,109","1,140","2,403",566,29
Kingsville,2017,"26,048",109,1,3,24,81,925,221,679,25,6
Kirby,2017,"8,746",37,1,3,16,17,275,55,178,42,0
Knox City,2017,"1,167",7,0,1,0,6,17,11,6,0,0
Kountze,2017,"2,094",7,0,0,1,6,40,7,26,7,0
Kress,2017,675,0,0,0,0,0,2,1,1,0,0
Kyle,2017,"41,189",86,0,16,18,52,649,64,524,61,2
Lacy-Lakeview,2017,"6,633",42,0,9,6,27,222,44,167,11,0
La Feria,2017,"7,279",42,0,0,2,40,164,27,131,6,0
Lago Vista,2017,"6,718",13,0,3,0,10,66,15,48,3,0
La Grange,2017,"4,699",29,0,8,2,19,115,16,95,4,2
La Grulla,2017,"1,720",6,0,0,1,5,15,8,7,0,0
Laguna Vista,2017,"3,207",2,0,0,0,2,26,2,22,2,0
La Joya,2017,"4,343",10,0,1,0,9,69,11,57,1,0
Lake City,2017,527,0,0,0,0,0,0,0,0,0,0
Lake Dallas,2017,"8,013",23,0,3,1,19,109,30,75,4,0
Lake Jackson,2017,"27,647",45,1,14,8,22,575,67,484,24,2
Lakeside,2017,"1,411",2,0,0,0,2,26,2,18,6,0
"Lakeview, Harrison County",2017,"6,410",5,0,1,0,4,53,9,38,6,0
Lakeway,2017,"15,195",20,0,3,2,15,169,13,148,8,0
Lake Worth,2017,"4,921",13,0,1,8,4,444,88,341,15,0
La Marque,2017,"16,796",90,6,19,14,51,752,112,576,64,3
Lampasas,2017,"7,910",18,1,2,2,13,213,28,177,8,0
Lancaster,2017,"39,225",222,0,14,94,114,"1,247",193,814,240,5
La Porte,2017,"35,293",103,0,20,16,67,527,77,401,49,3
Laredo,2017,"260,669",839,10,114,154,561,"6,474",874,"5,430",170,71
La Vernia,2017,"1,484",8,0,3,0,5,46,20,21,5,0
La Villa,2017,"2,702",3,0,0,0,3,16,5,11,0,0
Lavon,2017,"3,247",2,0,1,0,1,18,1,17,0,0
League City,2017,"105,351",97,3,34,18,42,"1,718",218,"1,407",93,3
Leander,2017,"46,219",58,0,22,5,31,523,73,426,24,4
Leon Valley,2017,"11,508",67,0,8,22,37,670,78,530,62,1
Levelland,2017,"13,901",121,0,19,3,99,514,117,366,31,4
Lewisville,2017,"106,199",280,3,51,71,155,"2,134",340,"1,565",229,6
Liberty,2017,"9,308",52,0,11,5,36,228,35,181,12,0
Lindale,2017,"6,044",24,0,10,1,13,213,42,158,13,1
Linden,2017,"1,971",5,0,0,0,5,47,13,30,4,0
Little Elm,2017,"46,097",36,1,8,8,19,267,43,198,26,0
Littlefield3,2017,"5,983",39,0,6,0,33,86,21,58,7,3
Live Oak,2017,"16,214",31,0,9,12,10,628,35,554,39,1
Livingston3,2017,"5,107",24,0,3,1,20,218,34,177,7,1
Lockhart,2017,"13,662",35,0,3,5,27,278,34,226,18,2
Log Cabin,2017,721,0,0,0,0,0,29,13,13,3,0
Lone Star,2017,"1,524",19,0,0,1,18,21,3,18,0,0
Longview,2017,"82,303",396,6,62,99,229,"2,803",614,"1,947",242,6
Lorena,2017,"1,752",3,0,1,0,2,40,3,33,4,0
Los Indios,2017,"1,068",4,0,0,0,4,8,3,5,0,0
Lufkin,2017,"36,329",142,4,0,33,105,"1,553",264,"1,206",83,2
Luling,2017,"5,962",35,2,6,3,24,106,13,81,12,1
Lumberton2,2017,"12,690",17,0,2,2,13,,,121,10,1
Lyford,2017,"2,592",10,0,3,0,7,43,9,31,3,0
Lytle,2017,"2,967",18,0,4,3,11,88,8,74,6,0
Madisonville,2017,"4,672",50,0,2,2,46,146,50,96,0,0
Magnolia,2017,"2,107",1,0,0,1,0,26,9,15,2,1
Manor,2017,"9,102",45,0,12,5,28,317,37,265,15,1
Mansfield,2017,"67,233",78,0,21,20,37,808,154,612,42,0
Manvel,2017,"9,756",9,1,0,2,6,108,40,59,9,1
Marble Falls,2017,"6,358",24,0,11,0,13,234,55,172,7,0
Marshall,2017,"23,564",157,0,6,28,123,908,264,579,65,3
Martindale,2017,"1,255",2,0,0,1,1,1,1,0,0,0
Mathis,2017,"4,939",62,3,0,3,56,173,58,112,3,4
McAllen,2017,"144,162",208,7,27,49,125,"4,007",185,"3,776",46,8
McGregor,2017,"5,082",15,0,0,2,13,28,11,16,1,0
McKinney,2017,"179,934",267,2,46,68,151,"2,417",297,"1,965",155,12
Meadows Place,2017,"4,745",4,0,0,1,3,136,18,106,12,0
Melissa,2017,"9,270",4,0,2,1,1,34,7,22,5,1
Memorial Villages,2017,"12,319",1,0,0,1,0,85,10,75,0,0
Memphis,2017,"2,113",15,0,0,0,15,6,1,4,1,0
Mercedes,2017,"16,762",98,0,14,9,75,713,123,557,33,10
Merkel,2017,"2,613",3,0,1,0,2,29,9,18,2,0
Mesquite,2017,"144,406",616,6,74,244,292,"5,264",773,"3,642",849,6
Mexia,2017,"7,441",41,0,4,9,28,243,30,210,3,0
Midland,2017,"138,954",377,2,37,59,279,"2,677",431,"2,026",220,5
Midlothian,2017,"24,617",22,0,5,0,17,415,34,359,22,4
Milford,2017,750,6,1,2,0,3,12,4,7,1,0
Mineola,2017,"4,756",20,0,1,0,19,92,6,81,5,0
Mission,2017,"84,511",98,0,27,30,41,"2,005",231,"1,700",74,19
Missouri City,2017,"75,863",149,2,23,46,78,969,133,767,69,0
Monahans,2017,"7,765",11,0,0,2,9,83,19,58,6,0
Mont Belvieu3,2017,"5,913",10,0,6,0,4,141,17,107,17,0
Montgomery,2017,985,1,0,1,0,0,8,1,7,0,1
Moulton,2017,911,1,0,1,0,0,1,1,0,0,0
Mount Pleasant,2017,"16,316",75,1,23,4,47,580,84,478,18,1
Muleshoe,2017,"5,160",6,0,0,0,6,50,12,34,4,0
Munday,2017,"1,328",0,0,0,0,0,4,3,1,0,0
Murphy,2017,"20,926",6,0,4,0,2,127,11,113,3,1
Nacogdoches,2017,"34,093",94,1,19,25,49,946,146,773,27,1
Naples,2017,"1,344",13,1,0,0,12,13,6,7,0,2
Nash,2017,"3,393",8,0,3,2,3,75,32,37,6,0
Nassau Bay,2017,"4,073",6,1,1,4,0,115,23,84,8,1
Natalia,2017,"1,537",3,0,0,0,3,18,11,7,0,0
Navasota,2017,"7,604",30,2,7,4,17,160,51,95,14,1
Nederland,2017,"17,344",59,0,7,8,44,462,79,347,36,1
Needville,2017,"3,101",5,0,1,0,4,20,3,15,2,0
New Boston,2017,"4,667",10,0,0,3,7,156,15,132,9,0
New Braunfels,2017,"76,993",193,1,33,29,130,"1,321",221,952,148,8
Newton,2017,"2,391",2,0,0,0,2,18,8,8,2,0
Nixon,2017,"2,514",6,0,0,0,6,26,10,13,3,0
Nocona,2017,"2,952",3,0,1,0,2,20,12,7,1,0
Nolanville,2017,"5,072",9,1,2,1,5,60,17,40,3,0
Normangee,2017,704,0,0,0,0,0,0,0,0,0,0
Northeast,2017,"2,981",2,0,0,0,2,59,7,49,3,0
Northlake,2017,"2,507",4,0,0,2,2,66,8,51,7,1
North Richland Hills,2017,"70,910",147,2,31,34,80,"1,373",208,"1,064",101,2
Oak Ridge,2017,194,0,0,0,0,0,0,0,0,0,0
Odessa,2017,"121,194",912,7,78,101,726,"3,219",560,"2,386",273,10
Olmos Park,2017,"2,448",0,0,0,0,0,38,2,34,2,0
Olney,2017,"3,147",3,0,0,2,1,51,23,25,3,0
Olton,2017,"2,097",3,0,0,0,3,15,7,7,1,0
Omaha,2017,993,0,0,0,0,0,7,3,3,1,0
Onalaska,2017,"2,529",9,0,1,0,8,13,5,5,3,0
Orange,2017,"19,552",132,2,1,43,86,420,147,226,47,10
Ovilla,2017,"4,060",3,0,1,0,2,30,4,24,2,0
Oyster Creek,2017,"1,129",15,0,0,1,14,43,13,27,3,0
Paducah,2017,"1,089",3,0,0,0,3,2,1,1,0,0
Palacios,2017,"4,676",7,0,0,2,5,121,40,78,3,0
Palestine3,2017,"18,316",130,2,16,12,100,364,88,248,28,1
Palmer,2017,"2,081",3,0,0,0,3,31,4,22,5,0
Palmhurst,2017,"2,746",8,0,0,0,8,150,1,149,0,0
Palm Valley,2017,"1,288",0,0,0,0,0,0,0,0,0,0
Palmview,2017,"5,791",52,1,3,5,43,255,50,202,3,2
Panhandle,2017,"2,358",10,0,1,0,9,11,2,8,1,0
Pantego3,2017,"2,569",18,0,1,3,14,119,21,89,9,0
Paris,2017,"24,978",218,1,4,31,182,852,191,613,48,0
Parker,2017,"4,541",3,0,1,0,2,22,10,8,4,0
Pasadena,2017,"154,000",711,5,93,195,418,"3,773",636,"2,758",379,23
Patton Village,2017,"1,953",3,1,0,0,2,37,7,23,7,2
Pearsall,2017,"10,222",7,0,0,1,6,215,65,139,11,1
Pecos,2017,"9,820",116,0,7,5,104,153,31,121,1,0
Pelican Bay,2017,"1,664",3,0,0,0,3,22,15,7,0,1
Penitas,2017,"4,935",6,0,0,0,6,11,1,8,2,0
Perryton3,2017,"8,890",41,0,0,0,41,117,31,74,12,0
Pflugerville3,2017,"61,212",102,1,31,15,55,968,127,796,45,2
Pharr,2017,"78,467",204,4,44,33,123,"1,673",268,"1,343",62,2
Pilot Point,2017,"4,313",5,0,3,0,2,37,11,25,1,0
Pinehurst,2017,"2,085",10,0,0,3,7,49,8,38,3,0
Pittsburg,2017,"4,736",19,0,3,3,13,137,38,94,5,0
Plainview,2017,"20,641",66,0,21,10,35,603,112,442,49,1
Plano,2017,"290,413",435,15,81,119,220,"5,035",728,"3,968",339,25
Pleasanton,2017,"10,563",39,0,13,5,21,411,71,311,29,0
Ponder3,2017,"1,602",3,0,2,0,1,20,8,11,1,0
Port Aransas,2017,"4,156",10,0,5,0,5,359,60,272,27,1
Port Arthur,2017,"55,583",378,6,15,110,247,"2,031",767,"1,111",153,5
Port Isabel,2017,"5,017",33,0,0,0,33,219,15,192,12,1
Portland,2017,"16,849",26,1,7,8,10,415,41,365,9,1
Port Lavaca,2017,"12,432",85,1,17,3,64,235,72,140,23,1
Port Mansfield,2017,233,0,0,0,0,0,15,0,15,0,0
Port Neches,2017,"12,775",50,1,8,2,39,208,41,141,26,0
Poteet,2017,"3,476",9,0,1,1,7,112,28,71,13,2
Poth,2017,"2,266",0,0,0,0,0,14,4,8,2,0
Pottsboro,2017,"2,330",3,0,0,0,3,6,0,6,0,0
Prairie View,2017,"6,597",12,1,0,1,10,25,11,13,1,0
Premont,2017,"2,622",5,0,0,0,5,47,21,24,2,3
Presidio,2017,"3,882",2,0,1,0,1,9,1,7,1,0
Primera,2017,"4,860",2,0,0,0,2,33,3,29,1,0
Princeton3,2017,"9,934",34,1,8,1,24,199,16,178,5,4
Prosper,2017,"20,442",14,1,3,3,7,229,67,155,7,0
Queen City,2017,"1,464",8,0,1,2,5,17,3,12,2,0
Quitman,2017,"1,849",1,0,0,0,1,31,6,24,1,0
Ralls,2017,"1,898",0,0,0,0,0,3,1,2,0,0
Rancho Viejo,2017,"2,504",1,0,0,0,1,17,5,12,0,0
Ranger,2017,"2,454",24,0,2,0,22,35,14,18,3,2
Raymondville,2017,"11,151",76,0,6,4,66,389,124,259,6,3
Red Oak,2017,"12,833",17,0,0,9,8,364,78,262,24,0
Refugio,2017,"2,875",3,0,0,0,3,5,4,1,0,0
Reno,2017,"3,324",4,0,0,1,3,36,1,31,4,0
Richardson,2017,"115,824",193,3,25,97,68,"2,295",389,"1,717",189,5
Richland Hills,2017,"8,176",24,0,5,3,16,268,42,198,28,0
Richmond,2017,"12,174",42,0,6,13,23,211,45,157,9,0
Richwood,2017,"3,965",7,0,1,0,6,39,9,27,3,0
Riesel,2017,"1,019",2,0,0,0,2,8,1,7,0,0
Rio Bravo,2017,"4,738",0,0,0,0,0,0,0,0,0,0
Rio Grande City,2017,"14,592",25,0,1,4,20,191,37,115,39,3
Rio Hondo,2017,"2,650",2,0,0,0,2,34,9,23,2,0
River Oaks,2017,"7,793",6,1,0,2,3,134,26,91,17,0
