City,Year,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
New Boston,2014,"4,544",11,0,0,,1,10,289,41,243,5,0
New Braunfels,2014,"64,622",182,1,9,,21,151,"2,101",313,"1,614",174,13
Nixon,2014,"2,452",5,0,1,,0,4,19,9,10,0,0
Nocona,2014,"2,977",1,0,0,,0,1,17,6,9,2,0
Nolanville,2014,"4,507",30,0,0,,2,28,78,17,59,2,0
Northeast,2014,"2,522",4,0,0,,0,4,92,4,86,2,0
Northlake,2014,"1,889",7,1,1,,0,5,45,10,33,2,0
North Richland Hills,2014,"68,309",120,0,18,,26,76,"1,542",258,"1,210",74,5
Oak Ridge,2014,168,1,0,0,,0,1,3,2,1,0,0
Oak Ridge North,2014,"3,166",2,0,1,,1,0,71,10,54,7,0
Odessa,2014,"113,619","1,068",11,65,,148,844,"4,217",735,"3,004",478,24
O'Donnell,2014,805,0,0,0,,0,0,0,0,0,0,0
Olmos Park,2014,"2,333",0,0,0,,0,0,50,9,36,5,0
Olney,2014,"3,209",2,0,0,,1,1,84,27,52,5,0
Olton,2014,"2,177",1,0,0,,0,1,20,3,15,2,0
Omaha,2014,"1,020",3,0,0,,0,3,17,8,9,0,0
Onalaska,2014,"1,703",13,0,6,,1,6,53,21,31,1,0
Orange,2014,"18,995",72,2,0,,32,38,495,196,250,49,3
Orange Grove,2014,"1,362",0,0,0,,0,0,28,8,19,1,0
Ovilla,2014,"3,552",8,0,1,,0,7,21,5,13,3,0
Oyster Creek,2014,"1,118",12,0,1,,0,11,36,9,22,5,0
Paducah,2014,"1,132",7,0,0,,0,7,7,3,2,2,5
Palacios,2014,"4,646",8,0,0,,3,5,107,29,74,4,0
Palestine,2014,"18,579",109,0,21,,16,72,765,165,556,44,1
Palmer,2014,"2,026",1,0,0,,0,1,32,14,17,1,1
Palmhurst,2014,"2,661",3,0,0,,0,3,276,6,270,0,0
Palm Valley,2014,"1,307",0,0,0,,0,0,31,1,30,0,0
Palmview,2014,"5,634",41,0,10,,3,28,336,46,277,13,1
Pampa,2014,"18,520",105,0,0,,7,98,820,150,637,33,1
Panhandle,2014,"2,332",0,0,0,,0,0,20,7,10,3,0
Pantego,2014,"2,500",15,0,0,,2,13,93,13,75,5,0
Paris,2014,"24,844",139,1,5,,28,105,"1,087",267,787,33,0
Parker,2014,"4,152",0,0,0,,0,0,12,4,8,0,0
Pasadena,2014,"153,540",591,7,93,,154,337,"4,630",788,"3,322",520,16
Pearland,2014,"102,516",155,1,39,,28,87,"2,059",303,"1,676",80,4
Pearsall,2014,"9,737",37,0,0,,1,36,261,67,184,10,1
Pecos,2014,"8,931",39,1,4,,4,30,122,11,106,5,0
Pelican Bay,2014,"1,579",2,0,0,,0,2,19,9,10,0,1
Penitas,2014,"4,590",16,0,4,,0,12,163,17,139,7,0
Perryton,2014,"9,440",9,0,0,,1,8,36,10,25,1,0
Pflugerville,2014,"55,101",61,0,18,,9,34,852,116,704,32,3
Pharr,2014,"74,555",291,1,32,,37,221,"2,385",494,"1,785",106,5
Pinehurst,2014,"2,078",8,0,0,,4,4,73,12,59,2,0
Pittsburg,2014,"4,522",48,0,6,,5,37,178,65,107,6,2
Plainview,2014,"21,765",53,0,6,,7,40,831,138,657,36,1
Plano,2014,"277,822",459,4,80,,156,219,"5,486",824,"4,369",293,23
Pleasanton,2014,"9,658",35,2,2,,3,28,562,87,440,35,1
Ponder,2014,"1,473",2,0,2,,0,0,16,3,12,1,0
Port Aransas,2014,"3,854",28,0,6,,0,22,307,41,253,13,0
Port Arthur,2014,"54,178",341,8,29,,114,190,"2,131",528,"1,471",132,9
Port Isabel,2014,"5,000",13,0,1,,0,12,283,56,222,5,1
Portland,2014,"15,879",22,0,1,,5,16,536,74,450,12,1
Port Lavaca,2014,"12,414",85,1,13,,1,70,358,99,236,23,1
Port Neches,2014,"12,726",56,0,13,,1,42,238,61,165,12,0
Poteet,2014,"3,396",13,1,2,,1,9,138,38,90,10,1
Poth,2014,"2,065",11,0,3,,1,7,46,29,13,4,0
Pottsboro,2014,"2,209",9,0,0,,0,9,17,5,11,1,0
Prairie View,2014,"5,920",21,3,2,,5,11,41,16,25,0,2
Premont,2014,"2,703",29,0,2,,1,26,65,38,26,1,2
Presidio,2014,"3,990",2,0,0,,0,2,11,6,4,1,0
Primera,2014,"4,135",2,0,0,,0,2,36,11,19,6,0
Princeton,2014,"7,968",23,0,5,,2,16,101,21,78,2,1
Prosper,2014,"13,916",17,0,4,,0,13,199,57,136,6,1
Queen City,2014,"1,475",18,1,0,,1,16,44,17,27,0,0
Quitman,2014,"1,811",3,2,0,,0,1,25,10,15,0,0
Ralls,2014,"1,909",1,1,0,,0,0,1,1,0,0,0
Rancho Viejo,2014,"2,502",0,0,0,,0,0,10,2,8,0,0
Ranger,2014,"2,446",9,0,1,,0,8,60,30,28,2,0
Raymondville,2014,"11,113",123,0,4,,6,113,564,156,392,16,14
Red Oak,2014,"11,352",12,0,0,,7,5,338,36,280,22,0
Refugio,2014,"2,854",5,0,0,,1,4,49,17,30,2,1
Reno,2014,"3,248",2,0,0,,0,2,49,9,40,0,0
Richardson,2014,"105,744",179,1,22,,75,81,"2,405",374,"1,885",146,7
Richland Hills,2014,"8,044",19,0,1,,4,14,243,63,153,27,0
Richmond,2014,"11,921",48,1,5,,8,34,332,75,245,12,0
Richwood,2014,"3,700",4,0,2,,0,2,49,10,38,1,0
Riesel,2014,"1,019",1,0,0,,0,1,12,2,10,0,0
Rio Grande City,2014,"14,065",34,0,6,,7,21,346,61,243,42,0
Rio Hondo,2014,"2,412",4,0,2,,0,2,58,12,46,0,0
River Oaks,2014,"7,664",11,0,0,,5,6,148,44,95,9,0
Roanoke,2014,"6,808",15,0,1,,6,8,171,16,152,3,0
Robinson,2014,"11,488",29,0,1,,1,27,120,18,99,3,1
Robstown,2014,"11,742",133,0,0,,11,122,513,158,341,14,1
Rockdale,2014,"5,374",21,1,4,,1,15,180,39,130,11,1
Rockport,2014,"10,208",31,0,3,,4,24,537,113,407,17,0
Rockwall,2014,"41,688",41,0,7,,5,29,760,86,613,61,0
Rollingwood,2014,"1,532",0,0,0,,0,0,10,1,7,2,0
Roma,2014,"9,962",25,2,3,,4,16,121,19,84,18,1
Roman Forest,2014,"1,842",1,0,0,,1,0,33,4,27,2,0
Roscoe,2014,"1,306",1,0,0,,0,1,7,2,4,1,2
Rosenberg,2014,"33,598",92,0,16,,20,56,725,174,513,38,1
Round Rock,2014,"112,199",140,0,29,,39,72,"2,189",247,"1,891",51,5
Rowlett,2014,"58,474",75,2,11,,8,54,797,125,623,49,1
Royse City,2014,"10,491",17,0,3,,0,14,79,17,53,9,0
Runaway Bay,2014,"1,390",0,0,0,,0,0,3,2,1,0,0
Rusk,2014,"5,566",15,0,2,,0,13,84,20,59,5,1
Sabinal,2014,"1,694",1,0,0,,0,1,22,2,20,0,0
Sachse,2014,"22,434",19,0,7,,8,4,203,39,155,9,1
Saginaw,2014,"21,607",49,0,18,,11,20,481,53,378,50,1
Salado,2014,"2,155",0,0,0,,0,0,26,3,23,0,0
San Angelo,2014,"98,477",325,3,46,,38,238,"3,786",808,"2,738",240,12
San Antonio,2014,"1,428,465","7,704",103,"1,077",,"1,777","4,747","77,392","12,344","57,908","7,140",298
San Augustine,2014,"2,094",6,0,0,,0,6,38,12,26,0,0
San Benito,2014,"24,392",68,0,1,,14,53,"1,100",237,843,20,2
Sanger,2014,"7,532",13,0,1,,0,12,124,28,85,11,0
San Juan,2014,"35,982",195,2,44,,17,132,"1,140",155,922,63,0
San Marcos,2014,"56,623",180,0,43,,34,103,"1,753",350,"1,273",130,0
San Saba,2014,"3,098",4,0,1,,2,1,35,12,22,1,0
Sansom Park Village,2014,"4,821",31,0,1,,3,27,132,44,76,12,0
Santa Anna,2014,"1,047",3,0,0,,0,3,15,6,9,0,0
Santa Fe,2014,"12,701",22,1,5,,5,11,268,60,179,29,0
Schertz,2014,"36,961",65,1,13,,12,39,654,105,515,34,2
Schulenburg,2014,"2,904",28,1,0,,1,26,89,25,62,2,0
Seabrook,2014,"12,816",9,0,0,,7,2,183,37,134,12,0
Seagoville,2014,"15,660",22,1,0,,9,12,565,78,387,100,1
Seagraves,2014,"2,672",3,0,1,,0,2,34,8,22,4,0
Sealy,2014,"6,253",47,0,2,,4,41,193,68,113,12,0
Seguin,2014,"27,031",95,0,30,,19,46,988,181,780,27,5
Selma,2014,"8,201",16,0,4,,2,10,214,28,167,19,0
Seminole,2014,"7,167",2,0,1,,0,1,72,10,54,8,0
Seven Points,2014,"1,430",7,0,0,,2,5,67,21,42,4,0
Seymour,2014,"2,632",9,0,2,,0,7,69,20,47,2,0
Shallowater,2014,"2,526",0,0,0,,0,0,5,2,0,3,0
Shamrock,2014,"2,059",2,0,0,,2,0,21,7,11,3,0
Shavano Park,2014,"3,382",0,0,0,,0,0,55,8,46,1,0
Shenandoah,2014,"2,669",6,0,0,,5,1,199,25,151,23,0
Sherman,2014,"39,522",142,0,25,,22,95,"1,150",282,818,50,2
Silsbee,2014,"6,708",6,0,0,,0,6,210,24,182,4,0
Sinton,2014,"5,745",43,0,3,,2,38,168,34,125,9,3
Smithville,2014,"3,953",12,1,2,,1,8,100,18,73,9,1
Snyder,2014,"11,610",75,2,6,,0,67,445,109,325,11,0
Socorro,2014,"32,624",42,0,2,,5,35,385,69,295,21,0
Somerset,2014,"1,722",5,0,0,,0,5,46,14,27,5,0
Somerville,2014,"1,347",1,0,0,,0,1,42,19,22,1,0
Sonora,2014,"2,923",8,0,0,,0,8,13,3,9,1,1
Sour Lake,2014,"1,786",4,0,0,,0,4,34,8,24,2,0
South Houston,2014,"17,494",81,2,3,,35,41,600,92,309,199,5
Southlake,2014,"28,640",7,0,0,,1,6,414,56,352,6,0
Southmayd,2014,988,5,0,0,,1,4,16,3,12,1,1
South Padre Island,2014,"2,916",41,0,11,,8,22,551,62,476,13,0
Southside Place,2014,"1,800",1,0,0,,1,0,26,1,25,0,0
Spearman,2014,"3,328",8,0,1,,0,7,7,2,4,1,2
Splendora,2014,"1,664",6,0,1,,0,5,32,10,21,1,0
Springtown,2014,"2,737",13,0,2,,1,10,115,22,88,5,0
Spring Valley,2014,"4,086",5,0,1,,1,3,121,14,103,4,0
Spur,2014,"1,226",2,0,0,,0,2,15,11,4,0,0
Stafford,2014,"18,224",78,4,9,,17,48,727,103,547,77,0
Stagecoach,2014,568,0,0,0,,0,0,6,5,1,0,0
Stamford,2014,"3,017",2,0,0,,1,1,74,27,44,3,2
Stanton,2014,"2,836",1,0,0,,0,1,30,1,27,2,0
Stephenville,2014,"18,947",36,0,6,,0,30,427,57,351,19,1
Stratford,2014,"2,087",1,0,0,,1,0,5,2,2,1,0
Sugar Land,2014,"85,055",99,1,6,,36,56,"1,400",220,"1,132",48,2
Sullivan City,2014,"4,141",15,0,2,,1,12,57,28,27,2,0
Sulphur Springs,2014,"15,967",36,0,8,,6,22,210,38,157,15,3
Sunrise Beach Village,2014,720,0,0,0,,0,0,7,2,5,0,0
Sunset Valley,2014,693,5,0,0,,5,0,121,1,119,1,0
Surfside Beach,2014,523,4,0,0,,2,2,10,4,5,1,0
Sweeny,2014,"3,733",17,1,4,,1,11,102,30,70,2,0
Taft,2014,"3,072",13,0,3,,1,9,63,25,38,0,0
Tahoka,2014,"2,559",5,0,0,,2,3,28,9,16,3,0
Tatum,2014,"1,386",11,1,0,,0,10,42,8,32,2,0
Taylor,2014,"16,449",61,0,9,,4,48,445,171,264,10,0
Teague,2014,"3,575",16,1,0,,2,13,71,33,33,5,3
Temple,2014,"71,049",175,5,21,,62,87,"2,421",494,"1,804",123,4
Terrell,2014,"16,466",92,0,13,,15,64,567,142,384,41,3
Terrell Hills,2014,"5,138",0,0,0,,0,0,105,62,41,2,0
Texarkana,2014,"37,687",325,1,41,,64,219,"2,393",512,"1,699",182,13
Texas City,2014,"46,273",150,2,10,,48,90,"1,652",271,"1,272",109,0
The Colony,2014,"40,228",54,0,17,,9,28,385,88,273,24,1
Thorndale,2014,"1,298",1,0,0,,1,0,22,4,17,1,0
Thrall,2014,909,0,0,0,,0,0,15,3,8,4,1
Three Rivers,2014,"1,942",28,0,0,,1,27,68,30,36,2,0
Tioga,2014,820,0,0,0,,0,0,11,8,3,0,0
Tomball,2014,"11,214",43,0,8,,15,20,526,64,433,29,0
Tool,2014,"2,243",3,0,1,,0,2,33,14,16,3,0
Trinity,2014,"2,662",9,0,0,,3,6,82,18,58,6,1
Trophy Club,2014,"11,129",7,0,2,,0,5,66,12,53,1,0
Troy,2014,"1,741",2,0,0,,0,2,35,6,28,1,0
Tulia,2014,"4,882",20,0,1,,0,19,72,14,58,0,0
Tye,2014,"1,222",4,0,0,,1,3,32,5,21,6,0
Universal City,2014,"19,570",45,1,4,,15,25,405,89,284,32,1
University Park,2014,"24,219",4,0,1,,0,3,302,43,253,6,1
Uvalde,2014,"16,411",75,0,5,,6,64,783,148,621,14,2
Valley Mills,2014,"1,165",5,0,0,,2,3,17,5,12,0,0
Van,2014,"2,653",12,0,0,,0,12,94,22,67,5,0
Van Alstyne,2014,"3,107",4,0,1,,1,2,20,3,15,2,0
Venus,2014,"3,168",3,0,0,,0,3,22,3,16,3,0
Vernon,2014,"10,589",23,0,6,,1,16,295,59,220,16,3
Victoria,2014,"65,726",338,2,67,,38,231,"2,281",437,"1,774",70,13
Vidor,2014,"10,954",52,1,1,,4,46,423,78,312,33,0
Waco,2014,"129,944",576,6,101,,138,331,"5,009","1,373","3,434",202,32
Wake Village,2014,"5,487",10,0,0,,3,7,132,31,94,7,0
Waller,2014,"2,415",10,0,2,,2,6,85,27,51,7,1
Wallis,2014,"1,274",6,0,0,,1,5,22,4,17,1,0
Watauga,2014,"24,348",23,0,3,,4,16,432,62,349,21,0
Waxahachie,2014,"32,053",29,0,0,,12,17,984,135,805,44,5
Weatherford,2014,"27,427",47,0,6,,7,34,693,85,590,18,1
Webster,2014,"11,099",28,0,10,,10,8,580,74,450,56,0
Weimar,2014,"2,139",5,0,1,,3,1,32,8,24,0,0
Weslaco,2014,"37,458",452,1,18,,55,378,"2,653",467,"2,117",69,4
West,2014,"2,839",2,0,0,,1,1,33,11,21,1,0
West Columbia,2014,"3,912",17,0,1,,4,12,101,26,73,2,0
West Orange,2014,"3,446",11,0,2,,6,3,317,15,287,15,0
Westover Hills,2014,715,1,0,0,,0,1,22,9,13,0,1
West Tawakoni,2014,"1,603",0,0,0,,0,0,18,5,13,0,0
West University Place,2014,"15,509",2,0,0,,1,1,169,67,95,7,0
Westworth,2014,"2,615",8,0,0,,5,3,244,10,231,3,0
Wharton,2014,"8,738",43,0,0,,8,35,207,33,167,7,0
Whitehouse,2014,"8,009",18,1,5,,0,12,92,21,66,5,1
White Oak,2014,"6,372",4,0,0,,0,4,76,12,56,8,0
Whitesboro,2014,"3,864",12,0,1,,2,9,44,15,26,3,1
White Settlement,2014,"16,855",30,0,0,,9,21,491,110,353,28,1
Whitewright,2014,"1,613",11,0,1,,0,10,28,10,16,2,1
Whitney,2014,"2,081",3,0,0,,1,2,64,8,56,0,0
Wichita Falls,2014,"104,949",426,2,87,,130,207,"4,258",939,"3,082",237,0
Willis,2014,"6,127",47,0,9,,8,30,173,51,113,9,1
Willow Park,2014,"4,595",1,0,0,,0,1,46,13,32,1,0
Wills Point,2014,"3,511",5,0,0,,1,4,69,33,35,1,0
Wilmer,2014,"3,829",9,0,0,,3,6,95,28,61,6,0
Windcrest,2014,"5,668",8,0,3,,3,2,326,25,287,14,0
Wink,2014,"1,024",0,0,0,,0,0,11,4,5,2,1
Winnsboro,2014,"3,356",25,0,0,,0,25,71,12,52,7,0
Winters,2014,"2,505",2,0,0,,0,2,28,10,13,5,2
Wolfforth,2014,"4,070",2,0,1,,0,1,34,3,30,1,0
Woodbranch,2014,"1,367",0,0,0,,0,0,15,4,10,1,0
Woodville,2014,"2,495",3,0,0,,0,3,21,3,18,0,0
Woodway,2014,"8,716",8,0,1,,1,6,131,17,109,5,0
Wortham,2014,"1,053",1,0,0,,0,1,23,7,16,0,1
Wylie,2014,"45,323",43,1,17,,2,23,496,74,390,32,0
Yoakum,2014,"5,992",12,0,5,,3,4,127,52,64,11,0
Yorktown,2014,"2,121",18,0,3,,2,13,29,12,16,1,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
