City,Year,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3
Oak Ridge,2013,168,2,0,,0,0,2,0,0,0,0,0
Odessa,2013,"108,265","1,080",2,,56,143,879,"4,374",764,"3,147",463,13
O'Donnell,2013,809,0,0,,0,0,0,2,0,0,2,0
Olmos Park,2013,"2,314",1,0,,0,1,0,52,7,41,4,0
Olney,2013,"3,221",3,0,,0,0,3,40,9,30,1,2
Olton,2013,"2,234",8,0,,0,0,8,21,11,10,0,0
Omaha,2013,"1,012",3,0,,0,2,1,21,10,10,1,0
Onalaska,2013,"1,724",16,0,,2,8,6,62,19,37,6,2
Orange,2013,"19,057",111,4,,1,30,76,577,236,299,42,0
Orange Grove,2013,"1,357",1,0,,0,0,1,15,5,10,0,0
Overton,2013,"2,580",7,0,,2,0,5,61,21,39,1,0
Ovilla,2013,"3,535",4,0,,0,1,3,33,7,25,1,1
Oyster Creek,2013,"1,124",14,1,,0,0,13,50,19,27,4,0
Paducah,2013,"1,164",2,0,,1,0,1,3,2,1,0,0
Palacios,2013,"4,666",4,0,,0,3,1,157,66,84,7,3
Palestine,2013,"18,458",113,1,,15,31,66,"1,107",217,841,49,0
Palmer,2013,"2,023",2,0,,0,1,1,28,12,16,0,0
Palmhurst,2013,"2,698",2,1,,0,0,1,259,16,242,1,0
Palm Valley,2013,"1,311",0,0,,0,0,0,27,4,22,1,0
Palmview,2013,"5,625",25,0,,5,1,19,355,59,279,17,1
Pampa,2013,"18,471",186,1,,0,7,178,716,126,552,38,2
Panhandle,2013,"2,438",5,0,,0,0,5,7,3,3,1,0
Pantego,2013,"2,483",14,0,,0,2,12,112,12,97,3,0
Paris,2013,"25,048",170,5,,5,28,132,"1,219",314,866,39,0
Parker,2013,"4,205",5,0,,0,0,5,18,4,14,0,0
Pasadena,2013,"153,195",592,3,,52,192,345,"5,501","1,011","3,980",510,25
Pearland,2013,"98,183",152,1,34,,29,88,"1,928",287,"1,541",100,1
Pearsall,2013,"9,488",8,0,,0,1,7,249,69,177,3,2
Pecos,2013,"8,786",12,0,,0,5,7,146,25,112,9,0
Penitas,2013,"4,693",36,0,,5,2,29,174,34,133,7,0
Perryton,2013,"9,392",12,0,,0,1,11,73,13,48,12,0
Pflugerville,2013,"53,007",59,0,,16,7,36,822,92,699,31,1
Pharr,2013,"73,932",230,0,,20,37,173,"2,509",579,"1,810",120,2
Pilot Point,2013,"4,017",6,0,,1,2,3,34,11,21,2,0
Pittsburg,2013,"4,514",35,0,,5,3,27,196,73,119,4,0
Plainview,2013,"22,225",57,0,,7,5,45,877,155,697,25,2
Plano,2013,"275,795",389,3,84,,106,196,"5,930",944,"4,730",256,16
Pleasanton,2013,"9,394",35,0,,1,3,31,543,80,430,33,0
Ponder,2013,"1,463",3,1,,0,0,2,20,2,18,0,0
Port Aransas,2013,"3,726",23,0,,3,5,15,348,46,264,38,2
Port Arthur,2013,"54,032",359,5,,18,121,215,"2,390",726,"1,537",127,14
Port Isabel,2013,"5,055",12,0,,3,1,8,306,48,253,5,1
Portland,2013,"15,572",22,0,,6,5,11,570,89,469,12,3
Port Neches,2013,"12,773",37,0,,1,2,34,239,69,150,20,1
Poteet,2013,"3,375",13,0,,0,2,11,139,43,86,10,3
Poth,2013,"1,993",12,0,,0,0,12,26,7,17,2,0
Pottsboro,2013,"2,190",5,0,,2,0,3,37,18,17,2,2
Premont,2013,"2,722",20,0,,1,3,16,57,29,27,1,7
Presidio,2013,"4,204",1,0,,0,0,1,19,9,9,1,0
Primera,2013,"4,146",2,0,,0,0,2,22,12,8,2,0
Princeton,2013,"7,684",10,0,,2,0,8,116,36,73,7,1
Progreso,2013,"5,776",9,0,,1,2,6,86,37,42,7,1
Prosper,2013,"12,501",12,0,,2,1,9,202,78,121,3,0
Queen City,2013,"1,464",9,0,,2,0,7,65,22,42,1,0
Quitman,2013,"1,801",2,0,,0,0,2,44,19,22,3,0
Ralls,2013,"1,966",2,0,,0,0,2,7,5,2,0,0
Rancho Viejo,2013,"2,486",1,0,,0,0,1,8,5,3,0,0
Ranger,2013,"2,456",9,0,,2,1,6,42,12,25,5,0
Ransom Canyon,2013,"1,114",1,0,,0,0,1,4,0,4,0,0
Raymondville,2013,"11,164",178,0,,9,4,165,404,111,287,6,8
Red Oak,2013,"11,168",11,0,,0,8,3,360,62,275,23,0
Refugio,2013,"2,828",9,0,,1,1,7,57,15,41,1,0
Reno,2013,"3,261",2,0,,0,0,2,61,20,41,0,0
Richardson,2013,"104,577",128,2,,15,60,51,"2,758",539,"2,068",151,4
Richland Hills,2013,"8,012",5,0,,0,1,4,219,54,142,23,0
Richmond,2013,"11,841",53,0,,9,11,33,178,43,122,13,0
Riesel,2013,"1,018",4,0,,0,0,4,10,1,9,0,0
Rio Grande City,2013,"13,971",44,0,,2,5,37,509,80,382,47,1
Rio Hondo,2013,"2,429",7,0,,0,0,7,44,6,38,0,0
River Oaks,2013,"7,620",8,0,,0,2,6,163,48,109,6,0
Roanoke,2013,"6,644",7,0,,0,1,6,145,29,108,8,0
Robinson,2013,"11,237",19,1,,0,2,16,211,44,160,7,0
Robstown,2013,"11,665",15,1,,0,3,11,455,102,336,17,0
Rockdale,2013,"5,391",7,1,,0,0,6,154,26,122,6,0
Rockport,2013,"9,256",32,3,,4,6,19,596,144,429,23,1
Rockwall,2013,"40,622",25,1,10,,2,12,733,85,585,63,0
Rollingwood,2013,"1,529",1,0,,0,1,0,19,6,13,0,0
Roma,2013,"9,900",39,0,,0,8,31,109,17,70,22,6
Roman Forest,2013,"1,820",0,0,,0,0,0,39,4,34,1,0
Roscoe,2013,"1,298",1,0,,0,0,1,12,10,2,0,0
Rosenberg,2013,"32,059",94,1,,11,31,51,676,134,495,47,0
Round Rock,2013,"108,577",149,2,,24,37,86,"2,428",297,"2,086",45,6
Rowlett,2013,"58,177",82,0,16,,14,52,897,171,689,37,3
Royse City,2013,"10,132",7,0,2,,0,5,92,22,63,7,0
Runaway Bay,2013,"1,352",0,0,,0,0,0,1,1,0,0,0
Sabinal,2013,"1,692",1,0,,0,0,1,21,4,17,0,0
Sachse,2013,"21,986",14,0,3,,1,10,229,50,169,10,0
Salado,2013,"2,159",0,0,,0,0,0,31,3,28,0,0
San Angelo,2013,"96,661",263,2,54,,22,185,"3,592",682,"2,725",185,12
San Antonio,2013,"1,399,725","8,828",72,,663,"2,192","5,901","79,994","14,850","58,567","6,577",315
San Augustine,2013,"2,081",6,0,,0,1,5,30,4,23,3,0
San Diego,2013,"4,437",13,0,,0,2,11,133,48,85,0,1
Sanger,2013,"7,226",14,0,,2,4,8,170,34,123,13,1
San Juan,2013,"35,588",191,1,,28,25,137,"1,071",200,813,58,2
San Marcos,2013,"51,786",220,3,,30,50,137,"1,885",374,"1,362",149,5
San Saba,2013,"3,086",7,0,1,,0,6,63,28,33,2,1
Sansom Park Village,2013,"4,804",11,0,,1,4,6,132,61,58,13,0
Santa Anna,2013,"1,067",4,0,,2,0,2,22,7,14,1,0
Santa Fe,2013,"12,565",12,1,,1,1,9,272,75,177,20,2
Santa Rosa,2013,"2,895",3,0,,0,0,3,83,30,50,3,0
Schertz,2013,"35,882",68,0,,12,10,46,587,81,483,23,0
Schulenburg,2013,"2,872",12,0,,0,0,12,51,12,35,4,0
Seabrook,2013,"12,580",17,0,,0,3,14,183,47,121,15,0
Seagoville,2013,"15,652",8,0,,0,4,4,616,139,404,73,1
Seagraves,2013,"2,581",11,0,,3,1,7,45,16,25,4,0
Sealy,2013,"6,163",35,0,,1,5,29,179,50,125,4,0
Seguin,2013,"26,635",61,1,,6,21,33,"1,118",215,877,26,3
Selma,2013,"7,747",15,0,,1,2,12,240,35,181,24,0
Seminole,2013,"6,877",9,0,,4,0,5,97,16,74,7,0
Seven Points,2013,"1,456",6,0,,0,0,6,71,18,50,3,0
Seymour,2013,"2,636",15,0,,2,0,13,81,33,46,2,0
Shallowater,2013,"2,516",0,0,,0,0,0,11,9,2,0,0
Shamrock,2013,"2,008",2,1,,0,0,1,29,9,18,2,0
Shavano Park,2013,"3,274",3,0,,0,0,3,64,12,51,1,0
Shenandoah,2013,"2,478",9,0,,0,6,3,200,7,182,11,0
Sherman,2013,"39,377",120,2,,4,21,93,"1,316",312,958,46,6
Silsbee,2013,"6,662",8,0,,0,0,8,204,30,169,5,4
Sinton,2013,"5,698",40,0,,6,1,33,158,34,113,11,0
Slaton,2013,"6,112",16,0,,7,2,7,90,28,61,1,0
Smithville,2013,"3,865",7,1,,2,1,3,76,13,61,2,1
Snyder,2013,"11,459",75,1,,10,2,62,486,115,350,21,0
Socorro,2013,"32,891",58,0,,8,5,45,459,89,324,46,0
Somerset,2013,"1,703",3,0,,0,1,2,44,17,21,6,0
Sonora,2013,"2,866",9,0,,0,0,9,14,3,9,2,0
Sour Lake,2013,"1,782",5,0,,0,1,4,48,7,39,2,0
South Houston,2013,"17,445",92,0,,3,46,43,665,129,361,175,4
Southlake,2013,"28,062",14,1,,0,2,11,456,78,365,13,1
Southmayd,2013,994,4,0,,0,1,3,28,10,14,4,1
South Padre Island,2013,"2,919",49,0,,12,8,29,616,74,521,21,0
Southside Place,2013,"1,775",0,0,,0,0,0,15,1,14,0,0
Spearman,2013,"3,292",3,1,,2,0,0,32,8,23,1,0
Splendora,2013,"1,667",6,0,,0,1,5,19,6,10,3,0
Springtown,2013,"2,698",16,0,,0,0,16,86,17,66,3,0
Spring Valley,2013,"4,009",7,0,,1,1,5,142,23,113,6,0
Spur,2013,"1,239",0,0,,0,0,0,4,2,1,1,0
Stafford,2013,"18,034",94,3,,11,45,35,703,93,531,79,2
Stagecoach,2013,561,0,0,,0,0,0,8,8,0,0,0
Stamford,2013,"2,999",16,0,,0,1,15,95,40,49,6,0
Stanton,2013,"2,651",2,0,,1,1,0,30,7,22,1,0
Stephenville,2013,"18,595",27,1,,0,6,20,542,105,419,18,2
Stratford,2013,"2,069",3,0,,1,0,2,11,5,6,0,0
Sugar Land,2013,"83,460",108,1,,6,35,66,"1,613",256,"1,311",46,3
Sullivan City,2013,"4,122",3,0,,0,1,2,23,16,7,0,0
Sulphur Springs,2013,"15,613",25,1,,5,4,15,247,51,186,10,2
Sunrise Beach Village,2013,692,0,0,,0,0,0,5,1,4,0,0
Sunset Valley,2013,696,3,0,,0,3,0,121,1,120,0,0
Sweeny,2013,"3,739",11,0,,0,1,10,58,18,38,2,1
Sweetwater,2013,"10,604",82,0,12,,10,60,476,119,332,25,1
Taft,2013,"3,053",19,0,,12,0,7,52,15,34,3,0
Tatum,2013,"1,405",7,0,,0,0,7,58,17,40,1,0
Taylor,2013,"16,317",30,0,,1,8,21,493,93,393,7,2
Terrell,2013,"16,233",78,6,,3,15,54,644,178,423,43,4
Terrell Hills,2013,"5,061",1,0,,0,0,1,88,58,25,5,0
Texarkana,2013,"37,467",329,2,,21,71,235,"2,300",470,"1,725",105,27
Texas City,2013,"45,793",126,2,,0,55,69,"1,745",385,"1,267",93,3
The Colony,2013,"39,903",48,0,,6,7,35,556,114,407,35,6
Thorndale,2013,"1,293",2,0,,0,0,2,23,7,15,1,0
Thrall,2013,899,0,0,,0,0,0,28,7,21,0,0
Three Rivers,2013,"1,887",25,1,,0,0,24,60,19,39,2,0
Tioga,2013,813,0,0,,0,0,0,16,8,8,0,0
Tomball,2013,"11,029",30,0,5,,9,16,421,64,333,24,0
Tool,2013,"2,264",7,0,,0,0,7,47,13,31,3,0
Trinity,2013,"2,636",13,0,,1,2,10,67,27,36,4,0
Trophy Club,2013,"10,173",9,0,,1,2,6,109,12,93,4,0
Troy,2013,"1,723",4,0,,0,0,4,29,18,10,1,0
Tulia,2013,"4,964",10,0,,2,1,7,70,24,46,0,0
Tye,2013,"1,248",8,0,,2,0,6,30,3,25,2,3
Tyler,2013,"100,033",376,5,43,,53,275,"4,116",825,"3,111",180,10
Universal City,2013,"19,344",52,2,,2,9,39,412,108,271,33,4
University Park,2013,"24,031",8,0,,2,5,1,296,51,228,17,1
Uvalde,2013,"16,218",104,0,,7,8,89,976,152,804,20,5
Valley Mills,2013,"1,187",1,0,,0,0,1,32,10,22,0,0
Van,2013,"2,644",3,1,,0,0,2,42,15,27,0,0
Van Alstyne,2013,"3,088",4,0,,1,1,2,26,4,20,2,0
Venus,2013,"3,105",4,0,,0,0,4,29,7,20,2,1
Vernon,2013,"10,703",37,0,,6,2,29,346,86,239,21,6
Victoria,2013,"64,979",396,1,53,,58,284,"2,479",507,"1,908",64,15
Vidor,2013,"10,984",58,0,,0,11,47,520,112,361,47,0
Waco,2013,"127,570",515,4,,58,142,311,"5,422","1,508","3,751",163,42
Waelder,2013,"1,085",0,0,,0,0,0,17,4,13,0,0
Wake Village,2013,"5,446",8,0,,0,2,6,133,45,87,1,1
Waller,2013,"2,375",9,0,,0,2,7,94,29,61,4,0
Wallis,2013,"1,269",4,0,,0,0,4,21,8,10,3,1
Watauga,2013,"24,210",22,0,,0,6,16,459,81,358,20,2
Waxahachie,2013,"31,530",33,2,,0,11,20,"1,033",160,832,41,3
Weatherford,2013,"26,702",7,0,,1,1,5,660,83,555,22,3
Webster,2013,"11,116",46,1,,8,21,16,639,82,496,61,0
Weimar,2013,"2,128",3,0,,1,0,2,25,5,19,1,0
Weslaco,2013,"37,248",389,2,,22,41,324,"2,916",561,"2,238",117,2
West,2013,"2,836",1,0,,0,1,0,20,8,11,1,0
West Columbia,2013,"3,907",18,0,,4,3,11,110,29,78,3,0
West Orange,2013,"3,463",7,0,,0,1,6,308,26,274,8,0
Westover Hills,2013,708,0,0,,0,0,0,17,4,12,1,0
West Tawakoni,2013,"1,605",0,0,,0,0,0,14,4,10,0,0
Westworth,2013,"2,554",6,0,,0,4,2,181,15,160,6,0
Wharton,2013,"8,767",57,0,,2,6,49,381,77,291,13,1
Whitehouse,2013,"7,919",9,0,,4,1,4,77,17,53,7,0
White Oak,2013,"6,447",7,0,,5,1,1,93,20,70,3,0
Whitesboro,2013,"3,823",6,0,,1,0,5,63,14,46,3,0
White Settlement,2013,"16,703",24,0,,0,8,16,497,98,361,38,2
Whitewright,2013,"1,607",9,0,,3,0,6,36,8,25,3,0
Whitney,2013,"2,108",2,0,,0,1,1,80,16,64,0,0
Wichita Falls,2013,"104,514",401,7,,29,124,241,"4,558",995,"3,277",286,0
Willow Park,2013,"4,248",0,0,,0,0,0,44,13,27,4,0
Wills Point,2013,"3,504",1,0,,0,1,0,94,56,37,1,0
Wilmer,2013,"3,805",6,0,,1,0,5,149,65,73,11,1
Windcrest,2013,"5,617",12,0,,0,6,6,340,23,299,18,3
Wink,2013,980,0,0,,0,0,0,3,1,2,0,1
Winnsboro,2013,"3,250",8,0,,0,1,7,74,36,35,3,1
Winters,2013,"2,539",4,0,,0,1,3,22,10,11,1,0
Wolfforth,2013,"3,983",12,0,,0,0,12,47,8,38,1,0
Woodbranch,2013,"1,344",1,0,,0,0,1,17,1,16,0,0
Woodville,2013,"2,531",3,0,,0,1,2,32,13,19,0,0
Woodway,2013,"8,626",8,0,,1,2,5,143,20,121,2,0
Wortham,2013,"1,044",1,0,,0,0,1,51,12,37,2,0
Wylie,2013,"45,138",32,1,9,,3,19,526,75,433,18,0
Yoakum,2013,"5,927",8,0,,0,3,5,165,79,79,7,0
Yorktown,2013,"2,133",12,0,,7,0,5,52,21,30,1,0
