City,Year,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Needville,2012,"2,970",8,0,3,0,5,27,6,20,1,0
New Boston,2012,"4,630",29,0,1,2,26,229,42,173,14,0
New Braunfels,2012,"60,482",115,1,19,27,68,"2,110",300,"1,718",92,4
New Deal,2012,821,0,0,0,0,0,0,0,0,0,0
Nixon,2012,"2,433",5,0,0,0,5,44,10,31,3,0
Nocona,2012,"3,077",3,0,2,0,1,39,12,20,7,0
Nolanville,2012,"4,394",22,0,2,0,20,78,18,60,0,0
Northlake,2012,"1,815",1,0,0,0,1,25,8,17,0,0
North Richland Hills,2012,"65,750",170,1,18,23,128,"1,572",301,"1,195",76,2
Oak Ridge,2012,142,0,0,0,0,0,1,1,0,0,0
Oak Ridge North,2012,"3,203",8,0,0,5,3,99,13,76,10,0
Odessa,2012,"103,635","1,103",5,43,141,914,"3,717",770,"2,565",382,23
O'Donnell,2012,838,0,0,0,0,0,1,1,0,0,1
Olmos Park,2012,"2,327",0,0,0,0,0,104,18,86,0,0
Olney,2012,"3,322",2,0,1,0,1,67,28,34,5,1
Olton,2012,"2,279",5,0,0,0,5,15,7,5,3,0
Omaha,2012,"1,039",0,0,0,0,0,18,9,9,0,0
Onalaska,2012,"1,784",1,0,0,0,1,38,10,27,1,0
Orange,2012,"19,025",112,0,2,31,79,587,256,290,41,3
Orange Grove,2012,"1,356",0,0,0,0,0,10,5,3,2,0
Overton,2012,"2,616",12,0,4,0,8,43,13,28,2,1
Ovilla,2012,"3,620",10,0,1,0,9,30,6,23,1,1
Oyster Creek,2012,"1,153",11,0,0,1,10,49,14,31,4,0
Paducah,2012,"1,199",0,0,0,0,0,4,3,1,0,0
Palacios,2012,"4,804",9,0,1,5,3,159,51,99,9,0
Palestine,2012,"18,936",162,2,18,21,121,878,211,616,51,4
Palmer,2012,"2,074",1,0,0,0,1,34,14,20,0,1
Palmhurst,2012,"2,725",3,0,0,0,3,227,11,214,2,1
Palm Valley,2012,"1,350",1,0,0,0,1,68,24,44,0,0
Palmview,2012,"5,716",6,0,0,4,2,215,38,167,10,0
Pampa,2012,"18,452",110,0,1,6,103,794,226,541,27,4
Panhandle,2012,"2,520",1,0,1,0,0,10,5,1,4,0
Pantego,2012,"2,486",6,0,1,2,3,136,15,112,9,0
Paris,2012,"25,693",155,3,7,35,110,"1,328",295,"1,001",32,0
Parker,2012,"4,017",1,0,0,0,1,39,9,30,0,0
Pasadena,2012,"154,562",622,8,52,147,415,"5,610",999,"4,087",524,39
Pearland,2012,"94,702",123,1,18,28,76,"1,753",277,"1,393",83,8
Pearsall,2012,"9,378",13,0,1,1,11,203,70,132,1,1
Pecos,2012,"8,891",15,2,0,3,10,198,26,160,12,3
Penitas,2012,"4,605",23,0,0,0,23,115,7,93,15,0
Perryton,2012,"9,201",25,0,0,0,25,104,24,72,8,1
Pflugerville,2012,"49,483",61,1,9,6,45,802,140,637,25,3
Pharr,2012,"73,599",270,0,14,44,212,"2,324",552,"1,628",144,5
Pilot Point,2012,"4,053",6,0,0,1,5,52,14,37,1,0
Pinehurst,2012,"2,142",13,0,1,3,9,53,11,41,1,0
Pittsburg,2012,"4,567",26,0,3,2,21,187,46,138,3,1
Plainview,2012,"22,678",61,0,5,10,46,906,181,709,16,5
Plano,2012,"273,816",358,1,55,110,192,"6,453","1,095","5,043",315,7
Pleasanton,2012,"9,206",22,0,3,2,17,528,108,393,27,1
Ponder,2012,"1,468",0,0,0,0,0,16,1,14,1,0
Port Aransas,2012,"3,565",26,1,1,3,21,356,45,289,22,1
Port Arthur,2012,"54,745",344,4,19,121,200,"2,406",854,"1,428",124,45
Port Isabel,2012,"5,187",17,0,1,4,12,380,96,280,4,0
Portland,2012,"15,306",15,1,4,6,4,494,56,424,14,1
Port Neches,2012,"13,266",33,0,2,2,29,267,81,176,10,3
Poteet,2012,"3,359",13,1,0,3,9,119,35,78,6,0
Poth,2012,"1,976",6,0,0,0,6,26,3,21,2,0
Pottsboro,2012,"2,202",1,0,0,0,1,29,11,17,1,0
Premont,2012,"2,725",8,0,0,1,7,39,19,19,1,1
Presidio,2012,"4,460",1,0,0,0,1,17,2,13,2,0
Primera,2012,"4,189",12,0,1,0,11,72,30,37,5,0
Princeton,2012,"7,175",19,0,4,2,13,103,21,79,3,0
Progreso,2012,"5,756",9,0,0,2,7,53,13,36,4,3
Prosper,2012,"10,037",10,0,0,1,9,196,95,98,3,0
Queen City,2012,"1,494",6,0,0,0,6,53,23,25,5,0
Quitman,2012,"1,845",1,0,1,0,0,26,18,7,1,0
Ralls,2012,"1,984",2,0,0,0,2,5,4,1,0,0
Rancho Viejo,2012,"2,523",0,0,0,0,0,23,13,10,0,0
Ranger,2012,"2,510",14,0,2,1,11,50,18,30,2,0
Ransom Canyon,2012,"1,134",0,0,0,0,0,7,5,2,0,0
Raymondville,2012,"11,428",78,0,5,3,70,398,113,281,4,7
Red Oak,2012,"11,160",11,0,0,3,8,283,61,205,17,3
Refugio,2012,"2,900",8,0,1,2,5,62,15,45,2,0
Reno,2012,"3,236",2,1,0,1,0,51,12,38,1,0
Richardson,2012,"103,266",171,2,27,80,62,"3,004",698,"2,175",131,4
Richland Hills,2012,"8,095",11,0,0,4,7,255,58,173,24,0
Richmond,2012,"12,248",45,1,5,7,32,214,71,129,14,1
Richwood,2012,"3,642",4,0,1,0,3,56,22,27,7,0
Riesel,2012,"1,039",0,0,0,0,0,5,0,3,2,0
Rio Grande City,2012,"14,175",24,0,0,6,18,451,129,294,28,2
Rio Hondo,2012,"2,480",2,0,0,0,2,46,6,38,2,0
River Oaks,2012,"7,711",7,0,0,2,5,150,45,101,4,0
Roanoke,2012,"6,272",7,0,0,2,5,162,23,131,8,0
Robinson,2012,"10,840",9,1,1,2,5,191,24,159,8,1
Robstown,2012,"11,764",21,0,1,8,12,425,119,289,17,1
Rockdale,2012,"5,655",8,1,0,1,6,165,40,121,4,0
Rockport,2012,"8,978",33,0,6,3,24,515,125,375,15,1
Rockwall,2012,"39,613",42,1,2,4,35,858,127,686,45,0
Rollingwood,2012,"1,489",0,0,0,0,0,16,8,6,2,0
Roma,2012,"10,034",17,0,4,0,13,151,55,82,14,2
Roman Forest,2012,"1,617",3,0,1,0,2,26,1,23,2,1
Roscoe,2012,"1,348",0,0,0,0,0,7,3,4,0,0
Rosebud,2012,"1,440",8,0,0,1,7,16,5,11,0,0
Rose City,2012,515,3,0,0,0,3,22,7,12,3,0
Rosenberg,2012,"32,230",81,0,15,19,47,638,143,468,27,3
Round Rock,2012,"106,232",141,0,32,45,64,"2,636",336,"2,222",78,6
Rowlett,2012,"58,324",71,0,17,9,45,"1,007",221,742,44,2
Royse City,2012,"9,834",6,0,2,0,4,138,32,101,5,2
Runaway Bay,2012,"1,321",1,0,0,0,1,14,4,10,0,0
Rusk,2012,"5,661",20,0,4,0,16,92,26,64,2,0
Sabinal,2012,"1,729",0,0,0,0,0,44,6,38,0,0
Sachse,2012,"21,172",23,1,8,2,12,198,36,152,10,1
Saginaw,2012,"20,561",35,0,3,8,24,510,80,399,31,1
Salado,2012,"2,193",2,0,0,1,1,35,6,29,0,1
San Antonio,2012,"1,380,123","6,943",89,549,"1,864","4,441","82,668","15,668","60,633","6,367",245
San Augustine,2012,"2,138",5,0,0,1,4,13,1,11,1,0
San Benito,2012,"25,099",71,1,0,19,51,"1,328",363,935,30,8
San Diego,2012,"4,528",11,0,0,1,10,78,35,40,3,2
Sanger,2012,"7,275",12,0,2,0,10,183,52,118,13,0
San Juan,2012,"35,394",201,2,31,16,152,"1,224",219,938,67,2
San Marcos,2012,"47,384",164,1,27,28,108,"1,557",253,"1,197",107,4
San Saba,2012,"3,173",6,0,0,0,6,47,9,38,0,1
Sansom Park Village,2012,"4,861",5,0,1,0,4,116,59,43,14,0
Santa Anna,2012,"1,098",3,0,0,0,3,17,7,10,0,0
Santa Fe,2012,"12,597",22,1,3,3,15,243,84,148,11,0
Santa Rosa,2012,"2,972",3,0,0,1,2,70,12,56,2,1
Schertz,2012,"32,964",64,0,8,4,52,642,100,504,38,4
Schulenburg,2012,"2,915",14,0,1,1,12,52,11,39,2,0
Seabrook,2012,"12,395",8,0,0,5,3,207,41,150,16,1
Seagoville,2012,"15,320",15,2,0,6,7,635,114,435,86,1
Seagraves,2012,"2,519",4,0,1,1,2,29,15,14,0,0
Sealy,2012,"6,161",17,1,0,3,13,211,53,149,9,1
Seguin,2012,"26,332",60,1,7,12,40,"1,146",205,916,25,0
Selma,2012,"5,774",13,0,4,2,7,253,28,207,18,1
Seminole,2012,"6,703",9,0,2,0,7,87,14,69,4,0
Seven Points,2012,"1,493",7,0,0,3,4,101,18,79,4,0
Seymour,2012,"2,792",6,0,0,0,6,47,10,35,2,1
Shallowater,2012,"2,568",0,0,0,0,0,14,3,9,2,0
Shamrock,2012,"1,958",0,0,0,0,0,14,4,10,0,1
Shavano Park,2012,"3,156",0,0,0,0,0,94,19,72,3,0
Shenandoah,2012,"2,242",8,0,0,6,2,182,16,161,5,0
Sherman,2012,"39,269",139,2,3,28,106,"1,542",372,"1,077",93,4
Silsbee,2012,"6,783",12,0,0,6,6,199,33,163,3,0
Sinton,2012,"5,742",36,0,1,0,35,182,51,124,7,0
Slaton,2012,"6,328",14,1,6,1,6,110,51,54,5,0
Smithville,2012,"3,924",4,0,1,1,2,50,9,36,5,0
Snyder,2012,"11,368",51,1,7,4,39,313,90,213,10,1
Socorro,2012,"33,326",55,0,4,6,45,445,79,336,30,2
Somerset,2012,"1,696",2,0,0,0,2,36,11,24,1,0
Somerville,2012,"1,403",5,0,2,0,3,35,13,20,2,0
Sonora,2012,"2,982",3,0,0,1,2,27,2,21,4,0
Sour Lake,2012,"1,860",3,0,0,0,3,25,8,15,2,1
South Houston,2012,"17,614",90,1,9,30,50,848,222,488,138,0
Southlake,2012,"27,596",10,1,0,5,4,485,73,409,3,5
South Padre Island,2012,"2,914",51,0,14,4,33,658,52,591,15,0
Southside Place,2012,"1,780",1,0,0,1,0,14,5,9,0,0
Spearman,2012,"3,396",17,0,0,3,14,50,10,36,4,1
Splendora,2012,"1,696",9,0,1,2,6,52,10,39,3,0
Springtown,2012,"2,735",22,0,1,2,19,86,25,57,4,0
Spring Valley,2012,"3,853",6,0,1,0,5,128,16,105,7,0
Spur,2012,"1,316",2,0,0,0,2,8,6,2,0,0
Stafford,2012,"18,623",78,2,3,29,44,697,135,492,70,3
Stagecoach,2012,564,0,0,0,0,0,4,1,3,0,0
Stamford,2012,"3,160",14,0,0,1,13,100,33,59,8,1
Stanton,2012,"2,599",4,0,1,0,3,14,6,8,0,1
Stephenville,2012,"17,511",33,0,7,3,23,620,114,485,21,2
Stratford,2012,"2,050",0,0,0,0,0,11,4,6,1,0
Sugar Land,2012,"82,924",109,0,4,37,68,"1,541",289,"1,217",35,3
Sullivan City,2012,"4,184",1,0,0,0,1,11,3,8,0,0
Sulphur Springs,2012,"15,774",39,0,0,3,36,211,47,149,15,0
Sunray,2012,"1,959",0,0,0,0,0,15,7,6,2,0
Sunrise Beach Village,2012,719,0,0,0,0,0,12,2,10,0,0
Sunset Valley,2012,789,8,0,0,6,2,105,3,95,7,0
Surfside Beach,2012,500,3,1,0,0,2,35,18,16,1,0
Sweeny,2012,"3,866",8,0,0,1,7,102,21,80,1,2
Sweetwater,2012,"11,107",121,0,27,9,85,445,118,309,18,1
Taft,2012,"3,090",17,0,6,1,10,74,12,59,3,0
Tahoka,2012,"2,702",3,0,1,0,2,46,9,37,0,0
Tatum,2012,"1,420",5,0,0,0,5,52,15,37,0,1
Taylor,2012,"16,240",23,0,2,10,11,447,91,348,8,1
Teague,2012,"3,587",19,0,1,2,16,149,67,77,5,1
Temple1,2012,"68,194",202,1,22,74,105,,,"1,433",89,0
Terrell,2012,"16,353",64,1,7,15,41,685,168,483,34,4
Terrell Hills,2012,"5,073",8,0,0,0,8,93,66,27,0,1
Texarkana,2012,"37,048",392,5,16,71,300,"2,506",616,"1,761",129,10
Texas City,2012,"46,448",148,2,11,51,84,"1,700",355,"1,278",67,3
The Colony,2012,"38,217",38,0,6,9,23,554,115,394,45,10
Thorndale,2012,"1,353",1,0,0,0,1,6,3,3,0,0
Thrall,2012,892,4,0,0,0,4,13,6,7,0,0
Three Rivers,2012,"1,861",9,0,0,0,9,52,22,22,8,11
Timpson,2012,"1,189",9,0,2,2,5,20,6,13,1,0
Tioga,2012,815,0,0,0,0,0,9,5,4,0,0
Tolar,2012,698,0,0,0,0,0,3,3,0,0,0
Tomball,2012,"11,143",36,0,10,5,21,463,84,360,19,1
Tom Bean,2012,"1,067",2,0,0,0,2,21,11,8,2,0
Tool,2012,"2,277",3,0,0,0,3,64,28,35,1,0
Trenton,2012,647,3,0,1,0,2,23,8,12,3,0
Trinity,2012,"2,753",6,0,0,1,5,64,20,42,2,0
Trophy Club,2012,"8,435",1,0,1,0,0,82,11,71,0,0
Troup,2012,"1,930",4,0,1,0,3,63,21,38,4,0
Troy,2012,"1,696",7,0,0,0,7,38,11,25,2,0
Tulia,2012,"5,010",14,0,0,2,12,61,23,38,0,0
Tye,2012,"1,272",3,0,0,1,2,24,7,16,1,0
Tyler,2012,"100,040",536,3,45,92,396,"4,506","1,025","3,350",131,7
Universal City,2012,"19,271",70,0,1,13,56,458,90,326,42,4
University Park,2012,"23,842",11,0,2,5,4,433,61,359,13,0
Uvalde,2012,"16,065",75,1,7,3,64,648,130,501,17,4
Valley Mills,2012,"1,228",2,0,0,0,2,40,11,27,2,1
Valley View,2012,768,0,0,0,0,0,0,0,0,0,0
Van Alstyne,2012,"3,104",5,0,0,1,4,71,32,35,4,0
Venus,2012,"3,027",2,0,0,0,2,36,19,15,2,0
Vernon,2012,"11,060",55,1,14,1,39,324,72,237,15,6
Victoria,2012,"64,076",405,5,31,47,322,"2,584",594,"1,887",103,15
Vidor,2012,"10,974",38,1,1,3,33,484,97,340,47,0
Waco,2012,"128,595",635,6,63,182,384,"5,844","1,550","4,139",155,53
Waelder,2012,"1,087",3,0,2,0,1,21,12,9,0,0
Wake Village,2012,"5,587",4,2,0,2,0,110,32,75,3,0
Waller,2012,"2,410",23,3,1,5,14,132,72,49,11,0
Wallis,2012,"1,281",2,0,0,1,1,13,3,9,1,0
Watauga,2012,"24,390",46,0,6,11,29,518,110,385,23,0
Waxahachie,2012,"30,676",45,0,0,14,31,"1,176",173,972,31,6
Weatherford,2012,"25,940",35,0,0,8,27,751,126,610,15,4
Webster,2012,"10,780",43,0,10,21,12,669,77,553,39,0
Weimar,2012,"2,177",2,0,1,0,1,28,5,20,3,0
Weslaco,2012,"37,271",410,1,25,60,324,"2,814",433,"2,288",93,2
West,2012,"2,849",0,0,0,0,0,28,6,19,3,0
West Columbia,2012,"4,052",16,0,4,1,11,85,27,55,3,0
West Lake Hills,2012,"3,230",1,0,1,0,0,93,21,71,1,0
West Orange,2012,"3,523",14,0,1,4,9,308,26,277,5,1
Westover Hills,2012,709,0,0,0,0,0,9,4,5,0,0
West Tawakoni,2012,"1,608",0,0,0,0,0,21,12,6,3,0
West University Place,2012,"15,335",13,0,0,11,2,209,127,73,9,0
Westworth,2012,"2,567",5,0,0,1,4,73,27,45,1,0
Wharton,2012,"8,971",67,0,6,12,49,490,85,391,14,5
Whitehouse,2012,"7,913",8,0,2,1,5,78,22,53,3,0
White Oak,2012,"6,642",11,0,8,0,3,126,36,71,19,1
Whitesboro,2012,"3,868",6,0,3,1,2,81,14,61,6,1
White Settlement,2012,"16,716",30,0,0,16,14,434,123,277,34,0
Whitewright,2012,"1,634",6,0,0,0,6,36,15,17,4,0
Whitney,2012,"2,137",1,0,0,0,1,94,13,80,1,1
Wichita Falls,2012,"105,488",475,5,36,150,284,"5,021","1,259","3,532",230,6
Willis,2012,"6,079",20,0,1,6,13,182,53,123,6,1
Willow Park,2012,"4,093",1,0,1,0,0,33,7,26,0,0
Wills Point,2012,"3,588",9,0,0,0,9,46,17,29,0,0
Wilmer,2012,"3,805",5,0,0,1,4,102,42,56,4,1
Windcrest,2012,"5,575",6,1,0,3,2,392,38,332,22,1
Wink,2012,962,0,0,0,0,0,2,0,2,0,0
Winnsboro,2012,"3,494",12,0,1,0,11,50,19,27,4,0
Winters,2012,"2,605",15,0,3,0,12,31,19,10,2,0
Wolfe City,2012,"1,440",7,0,1,2,4,28,10,15,3,0
Wolfforth,2012,"3,795",4,0,0,0,4,32,11,19,2,0
Woodbranch,2012,"1,348",1,0,1,0,0,15,2,12,1,0
Woodville,2012,"2,613",0,0,0,0,0,28,7,21,0,0
Woodway,2012,"8,587",11,0,5,1,5,134,13,119,2,0
Wortham,2012,"1,083",5,0,0,1,4,24,5,16,3,0
Wylie,2012,"43,645",28,2,1,3,22,613,100,485,28,1
Yoakum,2012,"5,935",9,0,0,1,8,189,74,108,7,2
Yorktown,2012,"2,142",7,0,3,0,4,30,11,19,0,0
