Region,Month of Period End,Property Type,Region Type,Seasonally Adjusted,State Code,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,New Listings,New Listings Mom,New Listings Yoy
"La Porte, TX",January 2019,All Residential,Place/City,False,TX,0.962574108,-2.1%,-1.6%,18,-56.1%,-18.2%,79,21.5%,61.2%,32,4,-12,$169K,-12.1%,-9.5%,50,117.4%,47.1%
"Missouri City, TX",April 2019,All Residential,Place/City,False,TX,0.966382081,-0.5%,-0.4%,161,15.0%,22.0%,579,1.9%,14.9%,45,-17,11,$259K,1.6%,-1.6%,255,13.8%,9.0%
"La Porte, TX",September 2012,All Residential,Place/City,False,TX,0.934304999,-2.3%,-1.6%,22,-50.0%,4.8%,159,-4.8%,-11.7%,49,-35,-82,$95K,-3.9%,-20.0%,39,8.3%,-15.2%
"Galveston, TX",September 2012,All Residential,Place/City,False,TX,0.932313193,-2.1%,-1.0%,49,-44.9%,4800.0%,558,-4.9%,4.7%,87,8,54,$167K,22.1%,294.8%,88,-20.0%,15.8%
"Sugar Land, TX",November 2012,All Residential,Place/City,False,TX,0.968708585,0.3%,0.9%,150,-8.0%,23.0%,469,-11.5%,-29.8%,69,22,-11,$238K,2.3%,-0.2%,123,-36.3%,-13.4%
"League City, TX",April 2013,All Residential,Place/City,False,TX,0.981326541,1.1%,0.8%,164,0.0%,18.0%,470,-2.1%,-21.5%,34,-28,-45,$186K,-0.1%,-4.2%,208,-1.0%,-4.1%
"Missouri City, TX",April 2013,All Residential,Place/City,False,TX,0.969013332,0.7%,0.4%,142,-2.1%,23.5%,429,-4.5%,-22.7%,56,-9,1,$217K,20.5%,25.6%,189,-3.1%,-6.0%
"League City, TX",August 2013,All Residential,Place/City,False,TX,0.982296752,0.7%,0.8%,194,-19.5%,36.6%,492,-1.4%,-14.4%,30,1,-36,$191K,-2.8%,6.9%,201,-17.6%,13.6%
"Baytown, TX",September 2013,All Residential,Place/City,False,TX,0.966486520,0.1%,1.3%,75,-18.5%,-13.8%,366,0.8%,-10.7%,47,-4,-17,$125K,-7.7%,2.5%,107,-1.8%,7.0%
"Texas City, TX",November 2013,All Residential,Place/City,False,TX,0.941019041,-1.7%,-0.1%,32,23.1%,-3.0%,203,-5.6%,-8.6%,115,50,31,$92K,30.5%,-4.4%,34,-35.8%,-26.1%
"Pasadena, TX",December 2013,All Residential,Place/City,False,TX,0.960275065,-1.4%,-1.0%,85,46.6%,54.5%,267,-11.6%,-14.1%,69,13,13,$125K,15.4%,46.9%,55,-27.6%,0.0%
"Baytown, TX",December 2013,All Residential,Place/City,False,TX,0.980970542,1.5%,2.2%,73,30.4%,17.7%,297,-11.3%,-22.0%,98,56,-4,$129K,-4.8%,9.0%,62,24.0%,1.6%
"Texas City, TX",April 2014,All Residential,Place/City,False,TX,0.959977292,1.3%,3.2%,41,10.8%,32.3%,151,-6.8%,-23.7%,76,-55,-7,$93K,6.3%,21.7%,46,-11.5%,-20.7%
"Sugar Land, TX",September 2014,All Residential,Place/City,False,TX,0.983823048,0.2%,1.3%,227,-5.4%,26.8%,354,-10.8%,-4.1%,17,0,-6,$295K,-3.3%,3.5%,163,-29.4%,-12.4%
"La Porte, TX",November 2014,All Residential,Place/City,False,TX,0.962798689,-0.6%,-1.0%,38,-30.9%,58.3%,79,-16.8%,-44.4%,44,14,-18,$134K,1.9%,8.1%,28,-20.0%,-15.2%
"Baytown, TX",February 2015,All Residential,Place/City,False,TX,0.978375657,0.5%,0.3%,70,-6.7%,-6.7%,232,-6.5%,-20.3%,75,33,-9,$155K,19.7%,31.7%,91,-9.0%,-19.5%
"La Porte, TX",June 2015,All Residential,Place/City,False,TX,0.977560617,0.7%,0.1%,36,-18.2%,-20.0%,70,6.1%,-34.0%,15,-1,-3,$158K,8.4%,10.3%,40,-23.1%,-34.4%
"Sugar Land, TX",November 2015,All Residential,Place/City,False,TX,0.967389943,0.2%,-0.9%,118,-29.3%,-15.1%,545,-2.2%,70.3%,50,8,22,$347K,6.8%,5.2%,152,-26.2%,-11.1%
"Houston, TX",December 2015,All Residential,Place/City,False,TX,0.968499173,-0.3%,-1.0%,2472,37.0%,-7.3%,7896,-6.4%,32.2%,38,4,10,$200K,11.0%,3.2%,2053,-20.2%,-3.6%
"League City, TX",October 2016,All Residential,Place/City,False,TX,0.986242791,0.1%,0.7%,165,2.5%,3.8%,418,-7.1%,5.6%,24,5,-2,$250K,4.6%,4.2%,146,-29.8%,-13.6%
"Sugar Land, TX",February 2017,All Residential,Place/City,False,TX,0.964281979,0.0%,-0.3%,127,14.4%,8.5%,529,6.9%,-0.2%,70,5,25,$314K,1.4%,18.6%,230,32.2%,20.4%
"League City, TX",March 2017,All Residential,Place/City,False,TX,0.983600301,0.1%,-0.1%,173,38.4%,3.0%,370,0.3%,-8.0%,37,0,12,$255K,4.1%,4.3%,230,20.4%,5.0%
"League City, TX",June 2017,All Residential,Place/City,False,TX,0.981938977,-0.4%,-0.8%,232,8.4%,6.4%,442,13.3%,9.4%,23,0,-4,$253K,-0.8%,3.3%,274,6.6%,2.6%
"Texas City, TX",September 2017,All Residential,Place/City,False,TX,0.968127952,0.2%,3.0%,46,27.8%,21.1%,186,-6.1%,82.4%,43,6,17,$168K,-0.4%,48.2%,59,-3.3%,-6.3%
"League City, TX",October 2017,All Residential,Place/City,False,TX,0.983878732,0.5%,-0.2%,144,-21.7%,-12.7%,423,-8.0%,1.2%,35,4,11,$271K,4.6%,8.4%,151,-3.8%,3.4%
"Missouri City, TX",February 2018,All Residential,Place/City,False,TX,0.971557980,1.3%,0.2%,101,12.2%,-1.0%,440,-0.2%,2.3%,48,-3,-19,$234K,1.5%,-8.8%,163,33.6%,5.2%
"La Porte, TX",September 2018,All Residential,Place/City,False,TX,0.960243312,-2.4%,-0.7%,42,2.4%,2.4%,69,-9.2%,-2.8%,28,15,9,$170K,-5.5%,6.3%,32,-36.0%,14.3%
"Galveston, TX",October 2018,All Residential,Place/City,False,TX,0.949389713,-0.7%,0.5%,109,-5.2%,17.2%,578,-1.4%,4.3%,79,32,3,$265K,21.8%,3.1%,142,27.9%,6.8%
"Friendswood, TX",November 2018,All Residential,Place/City,False,TX,0.966857320,0.2%,-0.4%,60,-18.9%,-14.3%,250,-6.7%,39.7%,63,22,5,$263K,3.5%,7.3%,60,-24.1%,-14.3%
"Friendswood, TX",February 2019,All Residential,Place/City,False,TX,0.968013167,0.2%,-0.5%,50,13.6%,-28.6%,203,-1.5%,34.4%,62,-25,12,$245K,-9.8%,14.5%,63,-19.2%,-17.1%
"La Porte, TX",July 2019,All Residential,Place/City,False,TX,0.987699888,0.7%,0.4%,59,22.9%,13.5%,107,-6.1%,32.1%,18,3,-5,$190K,5.1%,5.0%,62,-16.2%,6.9%
"La Porte, TX",November 2019,All Residential,Place/City,False,TX,0.972466640,0.0%,-2.6%,32,-38.5%,0.0%,137,10.5%,93.0%,27,-3,8,$198K,12.7%,7.4%,68,28.3%,106.1%
"Friendswood, TX",March 2020,All Residential,Place/City,False,TX,0.978244116,-0.1%,1.1%,69,35.3%,-8.0%,138,2.2%,-36.4%,24,-47,-21,$320K,14.3%,10.3%,82,7.9%,-22.6%
"League City, TX",April 2020,All Residential,Place/City,False,TX,0.985460900,-0.3%,0.2%,147,-8.1%,-20.5%,355,-8.7%,-22.5%,17,-16,-13,$280K,-0.4%,6.2%,162,-33.6%,-33.3%
"Texas City, TX",February 2012,All Residential,Place/City,False,TX,0.939615078,-0.5%,,16,-11.1%,,221,0.0%,,114,42,,$73K,-2.0%,,50,4.2%,
"League City, TX",September 2012,All Residential,Place/City,False,TX,0.974662305,0.0%,-1.5%,136,-4.2%,4433.3%,544,-5.4%,-10.7%,69,3,-74,$185K,3.4%,-33.6%,138,-22.0%,36.6%
"Missouri City, TX",September 2012,All Residential,Place/City,False,TX,0.973860536,0.8%,0.9%,101,-26.8%,3.1%,537,-0.7%,-17.1%,53,-1,-21,$170K,-2.9%,9.7%,126,-24.6%,5.9%
"Texas City, TX",February 2013,All Residential,Place/City,False,TX,0.960416102,3.5%,2.1%,28,7.7%,75.0%,193,-7.2%,-12.7%,57,-66,-57,$71K,-14.0%,-3.1%,33,-32.7%,-34.0%
"Friendswood, TX",March 2013,All Residential,Place/City,False,TX,0.970687322,2.0%,2.4%,50,16.3%,-16.7%,250,8.7%,-14.1%,45,-42,-53,$191K,19.4%,0.1%,109,32.9%,11.2%
"Texas City, TX",March 2013,All Residential,Place/City,False,TX,0.947204958,-1.3%,-3.7%,33,17.9%,17.9%,196,1.6%,-8.8%,74,17,7,$72K,1.8%,-4.8%,50,51.5%,-2.0%
"League City, TX",May 2013,All Residential,Place/City,False,TX,0.976456921,-0.5%,0.4%,196,19.5%,9.5%,479,1.9%,-18.4%,39,5,-32,$185K,-0.5%,0.0%,248,19.2%,20.4%
"Pasadena, TX",July 2013,All Residential,Place/City,False,TX,0.984161912,0.8%,3.1%,91,-2.2%,23.0%,285,-1.7%,-26.4%,40,-1,-21,$121K,8.6%,26.8%,109,11.2%,3.8%
"Houston, TX",January 2014,All Residential,Place/City,False,TX,0.973298711,-0.1%,0.5%,1758,-30.9%,2.7%,5945,-2.1%,-16.3%,42,8,-14,$157K,-16.3%,15.3%,2865,47.8%,1.8%
"Pasadena, TX",March 2014,All Residential,Place/City,False,TX,0.975594984,0.9%,0.2%,66,6.5%,11.9%,236,-9.2%,-20.5%,52,6,0,$130K,9.7%,27.5%,110,25.0%,13.4%
"Missouri City, TX",September 2014,All Residential,Place/City,False,TX,0.979952075,0.2%,0.7%,120,-31.8%,-6.3%,378,0.3%,-3.1%,18,-5,-24,$215K,-14.0%,0.4%,162,-4.7%,20.0%
"Friendswood, TX",January 2012,All Residential,Place/City,False,TX,0.950077788,-0.1%,-1.4%,40,90.5%,66.7%,285,-6.3%,13.1%,91,-21,-36,$167K,34.1%,14.5%,58,48.7%,5.5%
"Baytown, TX",February 2012,All Residential,Place/City,False,TX,0.964630496,-1.2%,0.8%,61,32.6%,32.6%,405,2.0%,-20.4%,89,5,17,$99K,-8.2%,-10.7%,98,10.1%,-16.2%
"Friendswood, TX",April 2012,All Residential,Place/City,False,TX,0.958173792,1.1%,1.6%,59,-1.7%,227.8%,298,2.4%,10.0%,104,6,-63,$158K,-17.2%,-7.9%,105,7.1%,45.8%
"La Porte, TX",April 2012,All Residential,Place/City,False,TX,0.962484743,-0.8%,0.3%,30,-6.3%,7.1%,179,10.5%,-7.3%,56,-42,4,$108K,2.1%,-7.9%,52,6.1%,10.6%
"Pasadena, TX",July 2012,All Residential,Place/City,False,TX,0.952726699,-3.4%,-0.5%,74,-19.6%,15.6%,387,0.5%,-23.1%,61,30,-5,$95K,-4.9%,-3.3%,105,-7.1%,-7.9%
"La Porte, TX",July 2012,All Residential,Place/City,False,TX,0.963578038,1.0%,-1.3%,31,-16.2%,47.6%,172,1.8%,1.2%,61,15,-29,$95K,-5.0%,-24.0%,46,2.2%,21.1%
"Sugar Land, TX",December 2012,All Residential,Place/City,False,TX,0.948369972,-2.0%,0.0%,200,33.3%,57.5%,378,-19.4%,-34.3%,71,2,-14,$283K,18.6%,10.8%,96,-22.0%,-2.0%
"Friendswood, TX",January 2013,All Residential,Place/City,False,TX,0.969957453,2.5%,2.0%,41,-28.1%,2.5%,217,5.9%,-23.9%,77,-13,-14,$155K,-6.1%,-7.5%,75,102.7%,29.3%
"Sugar Land, TX",May 2013,All Residential,Place/City,False,TX,0.968114670,0.2%,0.0%,280,39.3%,30.2%,370,9.5%,-39.2%,22,1,-9,$319K,31.7%,41.7%,323,29.2%,17.0%
"Galveston, TX",May 2013,All Residential,Place/City,False,TX,0.941341381,-0.3%,0.5%,107,1.9%,10.3%,617,0.5%,-1.0%,58,-8,-19,$157K,-19.5%,13.4%,149,-0.7%,14.6%
"Missouri City, TX",June 2013,All Residential,Place/City,False,TX,0.983326591,1.2%,1.6%,185,5.7%,20.9%,438,-2.7%,-22.8%,31,-10,-23,$219K,9.0%,17.1%,188,-23.3%,3.3%
"Friendswood, TX",November 2013,All Residential,Place/City,False,TX,0.982440656,1.8%,3.0%,50,-26.5%,-16.7%,170,-5.6%,-28.3%,45,-4,-29,$174K,-19.9%,6.9%,54,-1.8%,20.0%
"Pasadena, TX",November 2013,All Residential,Place/City,False,TX,0.973985601,0.3%,-0.7%,58,-31.0%,9.4%,302,0.7%,-9.6%,56,16,-11,$108K,-4.5%,0.2%,76,-20.0%,13.4%
"Galveston, TX",November 2013,All Residential,Place/City,False,TX,0.920945677,-3.5%,-2.0%,53,-28.4%,-27.4%,562,-7.3%,2.9%,87,24,-24,$160K,-5.6%,-11.1%,83,-34.1%,-13.5%
"La Porte, TX",January 2014,All Residential,Place/City,False,TX,0.967602128,-1.4%,1.0%,22,-35.3%,-4.3%,130,-1.5%,9.2%,69,26,9,$103K,-21.0%,-15.5%,49,81.5%,40.0%
"La Porte, TX",May 2014,All Residential,Place/City,False,TX,0.978993094,0.0%,0.9%,48,-2.0%,0.0%,87,-3.3%,-40.0%,49,-5,15,$126K,-3.1%,5.0%,57,16.3%,-6.6%
"League City, TX",June 2014,All Residential,Place/City,False,TX,0.982181035,-0.1%,0.4%,213,23.8%,15.1%,407,-2.2%,-13.4%,19,-5,-13,$215K,7.0%,7.6%,192,-23.8%,-12.7%
"Pasadena, TX",December 2014,All Residential,Place/City,False,TX,0.974409024,-0.5%,1.4%,94,74.1%,10.6%,171,-6.0%,-36.0%,35,10,-34,$129K,3.4%,3.4%,60,-7.7%,9.1%
"Texas City, TX",February 2015,All Residential,Place/City,False,TX,0.949198321,-0.5%,-1.0%,34,3.0%,70.0%,128,3.2%,-24.7%,71,12,-10,$107K,31.3%,37.2%,51,15.9%,30.8%
"Baytown, TX",April 2015,All Residential,Place/City,False,TX,0.965406175,-1.2%,-0.2%,106,6.0%,5.0%,214,0.0%,-18.0%,46,-5,-7,$150K,-5.1%,8.0%,120,5.3%,-5.5%
"Missouri City, TX",June 2015,All Residential,Place/City,False,TX,0.988397666,0.5%,0.5%,187,29.9%,5.6%,359,13.6%,-5.5%,14,-6,-5,$238K,-3.0%,-5.0%,204,-6.4%,-4.2%
"Baytown, TX",June 2015,All Residential,Place/City,False,TX,0.979249115,0.0%,-0.7%,114,37.3%,16.3%,235,4.4%,-15.2%,17,-14,-17,$155K,3.6%,9.9%,129,1.6%,0.8%
"La Porte, TX",February 2016,All Residential,Place/City,False,TX,0.952886435,-2.5%,-0.5%,36,24.1%,9.1%,64,1.6%,-1.5%,41,11,-31,$143K,2.3%,-14.2%,38,-7.3%,26.7%
"Baytown, TX",August 2016,All Residential,Place/City,False,TX,0.988571081,0.2%,2.0%,132,24.5%,21.1%,264,-4.0%,-9.9%,28,7,0,$171K,0.9%,10.3%,130,10.2%,-13.3%
"Friendswood, TX",October 2016,All Residential,Place/City,False,TX,0.980847415,1.0%,-0.2%,55,-24.7%,-25.7%,177,-5.3%,21.2%,21,-2,3,$229K,-4.6%,4.1%,57,-14.9%,-13.6%
"Baytown, TX",January 2017,All Residential,Place/City,False,TX,0.962943438,-1.0%,-0.4%,72,-15.3%,-12.2%,224,-7.8%,-15.8%,52,3,-21,$155K,-9.9%,4.0%,100,26.6%,-5.7%
"Baytown, TX",February 2017,All Residential,Place/City,False,TX,0.975632835,1.3%,1.0%,87,20.8%,13.0%,222,-0.9%,-12.9%,53,1,5,$173K,11.4%,16.6%,112,12.0%,-7.4%
"Baytown, TX",May 2017,All Residential,Place/City,False,TX,0.980689730,0.0%,0.0%,95,5.6%,-15.9%,240,3.9%,-8.0%,25,-1,-8,$182K,7.1%,7.1%,127,7.6%,5.8%
"Texas City, TX",February 2018,All Residential,Place/City,False,TX,0.965745342,0.5%,1.9%,44,-6.4%,46.7%,170,-13.3%,21.4%,49,-32,29,$148K,-3.9%,27.5%,50,-35.1%,11.1%
"La Porte, TX",April 2018,All Residential,Place/City,False,TX,0.996018902,1.3%,2.0%,35,0.0%,-2.8%,56,36.6%,-8.2%,7,-9,-14,$172K,-1.7%,4.4%,50,28.2%,22.0%
"Sugar Land, TX",April 2018,All Residential,Place/City,False,TX,0.970756619,0.5%,-0.3%,191,12.4%,8.5%,679,3.5%,-0.1%,35,-36,5,$311K,-3.7%,-3.0%,300,-2.3%,-7.4%
"Texas City, TX",June 2018,All Residential,Place/City,False,TX,0.969327421,0.6%,-1.0%,78,21.9%,41.8%,213,7.0%,38.3%,28,3,0,$170K,6.1%,20.0%,106,16.5%,7.1%
"Missouri City, TX",June 2018,All Residential,Place/City,False,TX,0.979504891,0.6%,0.6%,152,-15.6%,-17.4%,591,10.1%,-2.0%,28,-9,0,$251K,-6.0%,-2.6%,235,-2.1%,-7.1%
"Sugar Land, TX",July 2018,All Residential,Place/City,False,TX,0.969795004,-0.5%,-0.2%,223,-4.7%,9.9%,827,-4.6%,-7.9%,31,5,0,$335K,-3.6%,-4.6%,270,-18.2%,-10.9%
"Sugar Land, TX",September 2018,All Residential,Place/City,False,TX,0.965007552,0.1%,0.5%,136,-43.1%,-11.1%,770,-2.5%,-3.3%,59,11,14,$305K,-6.8%,-3.2%,203,-6.9%,21.6%
"La Porte, TX",November 2018,All Residential,Place/City,False,TX,0.998706126,2.6%,3.1%,32,-23.8%,23.1%,71,-13.4%,9.2%,19,-1,1,$184K,0.8%,-1.0%,33,-34.0%,10.0%
"La Porte, TX",March 2019,All Residential,Place/City,False,TX,0.977560777,-1.1%,-0.5%,37,32.1%,5.7%,84,0.0%,104.9%,21,2,5,$179K,-2.7%,2.3%,51,0.0%,30.8%
"Baytown, TX",May 2019,All Residential,Place/City,False,TX,0.978430099,-0.2%,0.3%,112,2.8%,-2.6%,290,12.0%,2.1%,28,-1,1,$190K,-1.5%,2.2%,151,34.8%,-13.7%
"Friendswood, TX",August 2019,All Residential,Place/City,False,TX,0.974960723,-1.0%,0.1%,95,5.6%,30.1%,184,-15.6%,-33.1%,28,10,3,$270K,0.2%,-5.2%,71,-34.3%,-34.3%
"La Porte, TX",March 2020,All Residential,Place/City,False,TX,0.979107166,0.4%,0.2%,57,18.8%,54.1%,117,-4.1%,39.3%,37,-5,16,$182K,-4.3%,1.6%,49,-25.8%,-3.9%
"Galveston, TX",March 2020,All Residential,Place/City,False,TX,0.957542248,0.6%,-1.0%,105,-1.9%,-0.9%,633,11.1%,2.8%,36,-26,-32,$235K,-13.0%,-13.0%,207,18.3%,-10.0%
"Sugar Land, TX",May 2020,All Residential,Place/City,False,TX,0.964950584,0.0%,-0.2%,106,-15.2%,-49.0%,644,0.3%,-21.3%,40,-6,4,$330K,0.0%,-8.3%,264,56.2%,-15.9%
"La Porte, TX",July 2020,All Residential,Place/City,False,TX,0.985406346,0.9%,-0.2%,54,-16.9%,-8.5%,103,-4.6%,-3.7%,15,-32,-3,$205K,-1.9%,7.9%,70,4.5%,12.9%
"League City, TX",February 2012,All Residential,Place/City,False,TX,0.970863426,1.6%,2.6%,123,75.7%,12200.0%,579,-4.5%,25.1%,93,-12,58,$160K,-9.6%,137.0%,174,30.8%,126.0%
"Friendswood, TX",September 2012,All Residential,Place/City,False,TX,0.958407320,-0.5%,-2.2%,63,-26.7%,215.0%,254,-3.1%,-19.6%,54,2,-22,$180K,-5.9%,25.6%,68,-8.1%,44.7%
"Baytown, TX",October 2012,All Residential,Place/City,False,TX,0.963922468,1.0%,1.4%,88,1.1%,27.5%,411,0.2%,-9.1%,88,24,-18,$119K,-2.5%,25.2%,105,5.0%,7.1%
"Sugar Land, TX",February 2013,All Residential,Place/City,False,TX,0.956721792,0.0%,0.5%,134,20.7%,18.6%,389,-1.0%,-30.9%,63,-19,-25,$229K,-1.6%,4.4%,182,-6.2%,-0.5%
"Houston, TX",May 2013,All Residential,Place/City,False,TX,0.979849735,0.3%,1.0%,3054,8.5%,14.3%,6913,1.3%,-31.3%,25,-2,-19,$173K,-4.2%,7.8%,3771,2.4%,7.8%
"Baytown, TX",May 2013,All Residential,Place/City,False,TX,0.973697659,1.1%,0.0%,107,59.7%,50.7%,365,9.9%,-14.5%,70,-71,10,$120K,3.6%,-4.0%,135,28.6%,11.6%
"Baytown, TX",June 2013,All Residential,Place/City,False,TX,0.977125572,0.3%,0.9%,80,-25.2%,-14.9%,364,-0.3%,-19.8%,77,7,20,$123K,2.4%,2.6%,110,-18.5%,-22.0%
"League City, TX",October 2013,All Residential,Place/City,False,TX,0.975219035,-0.3%,0.0%,169,8.3%,17.4%,493,-0.8%,-7.3%,43,1,-19,$191K,-0.3%,2.6%,181,-1.6%,5.2%
"La Porte, TX",November 2013,All Residential,Place/City,False,TX,0.972302826,0.2%,-1.6%,24,-11.1%,0.0%,142,-7.8%,13.6%,62,16,28,$124K,-11.5%,4.7%,33,-26.7%,17.9%
"Texas City, TX",December 2013,All Residential,Place/City,False,TX,0.936019854,-0.5%,0.7%,34,6.3%,6.3%,182,-10.3%,-12.5%,91,-24,31,$117K,26.6%,29.4%,25,-26.5%,-19.4%
"Baytown, TX",November 2015,All Residential,Place/City,False,TX,0.976623388,0.5%,0.7%,77,-1.3%,-18.9%,281,-5.4%,0.4%,34,-3,-28,$155K,0.0%,1.3%,85,-24.8%,-9.6%
"Sugar Land, TX",January 2016,All Residential,Place/City,False,TX,0.956764778,-0.7%,-2.5%,82,-52.0%,-26.1%,528,4.8%,50.0%,67,13,49,$338K,7.2%,13.5%,181,57.4%,-2.7%
"La Porte, TX",June 2016,All Residential,Place/City,False,TX,1.003240822,1.2%,2.6%,40,2.6%,11.1%,63,-7.4%,-10.0%,12,-4,-3,$155K,-6.6%,-1.8%,44,-8.3%,10.0%
"Texas City, TX",June 2016,All Residential,Place/City,False,TX,0.940789738,-5.5%,-0.5%,60,13.2%,66.7%,114,23.9%,-21.4%,24,2,-1,$125K,-7.6%,-1.3%,79,41.1%,33.9%
"La Porte, TX",October 2016,All Residential,Place/City,False,TX,0.989461306,0.3%,3.8%,42,-6.7%,20.0%,63,-11.3%,-20.3%,17,1,-3,$160K,8.8%,23.1%,40,-23.1%,-20.0%
"Galveston, TX",November 2016,All Residential,Place/City,False,TX,0.955999978,1.3%,0.1%,68,-37.0%,-16.0%,593,-1.8%,9.2%,62,-12,6,$238K,13.5%,36.1%,112,-10.4%,4.7%
"Pasadena, TX",December 2016,All Residential,Place/City,False,TX,0.974978973,0.5%,-0.4%,92,33.3%,10.8%,169,-5.1%,0.6%,33,10,10,$164K,14.7%,10.1%,63,-25.9%,3.3%
"Baytown, TX",April 2017,All Residential,Place/City,False,TX,0.980929988,0.3%,-0.8%,90,-21.7%,-10.9%,231,6.5%,-10.1%,26,1,-9,$170K,0.0%,4.6%,118,-4.1%,-0.8%
"Houston, TX",June 2017,All Residential,Place/City,False,TX,0.973474943,-0.2%,-0.4%,3140,0.0%,4.7%,10474,4.0%,10.2%,27,2,-2,$225K,6.1%,4.7%,4162,-5.4%,6.0%
"Texas City, TX",July 2017,All Residential,Place/City,False,TX,0.987311770,0.8%,-0.3%,59,7.3%,22.9%,191,24.0%,80.2%,8,-20,-11,$150K,6.0%,26.6%,86,-13.1%,72.0%
"Friendswood, TX",August 2017,All Residential,Place/City,False,TX,0.979875867,-0.2%,0.0%,70,-9.1%,-21.3%,215,-6.5%,10.8%,19,-5,5,$308K,-6.8%,29.2%,80,-22.3%,-5.9%
"Sugar Land, TX",October 2017,All Residential,Place/City,False,TX,0.968351871,0.8%,0.1%,152,-0.7%,4.1%,755,-5.2%,19.8%,45,0,2,$310K,-1.6%,0.2%,202,21.0%,18.1%
"League City, TX",December 2017,All Residential,Place/City,False,TX,0.978433784,-0.3%,-0.2%,169,3.0%,6.3%,346,-5.7%,-6.0%,49,-5,9,$260K,0.0%,1.1%,91,-35.5%,-9.0%
"Pasadena, TX",February 2018,All Residential,Place/City,False,TX,0.976610195,0.8%,0.4%,61,19.6%,-9.0%,114,-6.6%,-26.0%,29,11,2,$155K,-1.6%,-0.3%,77,13.2%,-18.9%
"Baytown, TX",May 2018,All Residential,Place/City,False,TX,0.975462364,0.2%,-0.5%,115,0.9%,21.1%,284,8.8%,18.3%,27,1,2,$186K,-6.8%,2.1%,175,19.9%,37.8%
"La Porte, TX",June 2018,All Residential,Place/City,False,TX,0.979846855,-0.9%,0.0%,44,18.9%,-2.2%,66,6.5%,-16.5%,7,0,-8,$175K,1.2%,3.3%,56,0.0%,-12.5%
"Friendswood, TX",June 2018,All Residential,Place/City,False,TX,0.977130799,0.3%,-0.8%,119,17.8%,38.4%,244,24.5%,5.2%,14,0,2,$280K,13.3%,10.9%,140,-2.1%,16.7%
"La Porte, TX",December 2018,All Residential,Place/City,False,TX,0.983685861,-1.5%,-0.4%,41,28.1%,-2.4%,65,-8.5%,30.0%,28,9,-9,$192K,4.4%,13.6%,23,-30.3%,9.5%
"Sugar Land, TX",January 2019,All Residential,Place/City,False,TX,0.962891424,0.3%,0.3%,96,-36.8%,0.0%,618,-2.5%,4.4%,62,-19,-19,$274K,-10.8%,-3.7%,172,79.2%,-3.9%
"Baytown, TX",February 2019,All Residential,Place/City,False,TX,0.989197598,3.2%,2.7%,72,0.0%,-14.3%,293,-2.7%,24.7%,50,-3,21,$187K,14.2%,3.3%,109,-11.4%,-12.1%
"Missouri City, TX",July 2019,All Residential,Place/City,False,TX,0.974386531,-0.4%,-0.6%,204,37.8%,29.9%,635,-4.8%,6.2%,33,-9,-3,$255K,-0.4%,-1.5%,222,-6.3%,0.9%
"Galveston, TX",April 2020,All Residential,Place/City,False,TX,0.961044336,0.4%,0.2%,73,-30.5%,-48.6%,600,-5.2%,-4.5%,26,-10,-18,$230K,-2.1%,-8.0%,116,-44.0%,-42.3%
"Friendswood, TX",June 2020,All Residential,Place/City,False,TX,0.985052489,0.5%,0.0%,68,-17.1%,-29.2%,124,-9.5%,-42.1%,15,-2,-8,$310K,1.7%,4.5%,105,26.5%,0.0%
"Baytown, TX",June 2020,All Residential,Place/City,False,TX,0.977380415,-0.3%,-0.2%,121,26.0%,28.7%,329,-7.3%,1.5%,40,-1,6,$216K,0.9%,1.2%,162,-5.8%,-5.8%
"Friendswood, TX",February 2012,All Residential,Place/City,False,TX,0.945556659,-0.5%,-0.7%,36,-10.0%,140.0%,290,1.8%,13.3%,115,24,35,$226K,35.0%,80.8%,77,32.8%,60.4%
"Friendswood, TX",May 2012,All Residential,Place/City,False,TX,0.963652581,0.5%,-0.9%,83,40.7%,232.0%,294,-1.3%,4.6%,125,21,64,$220K,39.6%,54.1%,104,-1.0%,67.7%
"La Porte, TX",August 2012,All Residential,Place/City,False,TX,0.957519544,-0.6%,-2.2%,44,41.9%,15.8%,167,-2.9%,-0.6%,84,23,21,$99K,4.3%,-9.5%,36,-21.7%,-10.0%
"Pasadena, TX",August 2012,All Residential,Place/City,False,TX,0.956691924,0.4%,-1.0%,80,8.1%,-11.1%,367,-5.2%,-25.9%,56,-5,-27,$101K,6.3%,1.5%,96,-8.6%,0.0%
"La Porte, TX",October 2012,All Residential,Place/City,False,TX,0.965572366,3.1%,-1.5%,33,50.0%,32.0%,142,-10.7%,-16.5%,74,25,12,$117K,23.1%,6.6%,32,-17.9%,6.7%
"La Porte, TX",February 2013,All Residential,Place/City,False,TX,0.968147106,1.0%,0.9%,22,-4.3%,83.3%,119,0.0%,-25.2%,81,21,-46,$106K,-13.2%,45.6%,41,17.1%,-2.4%
"Pasadena, TX",June 2013,All Residential,Place/City,False,TX,0.976208949,0.5%,-1.0%,93,8.1%,1.1%,290,-2.4%,-24.7%,41,-20,10,$111K,-13.5%,11.1%,98,-25.2%,-13.3%
